id	leader	orig language (base)	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260496	02442cam a2200493 i 4500	eng	Weston, Anna Maria		by Anna Maria Weston.	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.			3			1814	1814.	London	['T. Tegg', 'Thomas Tegg']	Printed for Thomas Tegg, No. 111, Cheapside.				Duodecimo											['']	['Third-person']	['Poem(s)']				Author (text)		Female	Female			['pleasure', 'pain', 'fate', 'novel']		University of Pennsylvania		
260498	04231cam a2200589 i 4500	eng	Hawkins, Laetitia Matilda	1760-1835.	by Laetitia-Matilda Hawkins.	Rosanne, or, A father\\\'s labour lost / by Laetitia-Matilda Hawkins.	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Rosanne. Vol. II.		3			1814	1814.	London		Printed for F.C. and J. Rivington, No. 62, St. Paul\\\'s Church-Yard				Octavo				true	true				true		['']						Author (text)	Proper name			['Fiction']		['Countess', "Ladyship's", 'example', 'advantages', 'practice', 'Christianity', 'sentiment', 'esteem', 'servant']	['Waldegrave']	University of Pennsylvania		
260507	01101cam a2200277 i 4500	eng	Leadbeater, Mary	1758-1826.	by Mary Leadbetter and Elizabeth Shakleton.	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.				1			1814	1814.	Dublin		Printed by J. Cumming,					ill. ;										['']														University of Pennsylvania		
260508	06732cam a2200841 i 4500	eng	Burney, Sarah Harriet	1772-1844.	by S. H. Burney. ...	Tales of fancy / by S. H. Burney. ...	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Tales of fancy, by S.H. Burney. Vol. I Containing the shipwreck		3	2nd edition.	Second edition.	1816	1816.	London	['Henry Colburn & Co.', 'Henry Colburn & Co.']	Printed for Henry Colburn, Public Library, Conduit Street, Hanover Square.				Duodecimo				true							['']	['Third-person']	['Epistolary']				Author (text)		Indeterminate		['Fiction']		['Dedication']	['Hesse Hombourg']	University of Pennsylvania		
260658	02218cam a2200433 a 4500	eng	Godwin, William	1756-1836.	BY William Godwin.	St. Leon : a tale of the sixteenth century / BY William Godwin.	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	The travels of St. Leon		4	The third edition.	Third edition	1816	1816	London		Printed for W. Simpkin and R. Marshall, Stationers-court, Ludgate-street				Octavo											['Congreve.']						Author (text)		Male	Male			['travel']		University of Pennsylvania		
260659	01886cam a2200385i  4500	eng	Malory, Thomas	15th cent.		The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.				2			1816	1816.	London		Printed for Walker and Edwards, etc.,					fronts.	['Each volume has added t.-p. engraved.']									['']														University of Pennsylvania		
260660	04489cam a2200757i  4500	eng	Fielding, Henry	1707-1754.	Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	The history of the adventures of Joseph Andrews. By Henry Fielding, Esq. London, published by J. Walker, Paternoster Row, and J. Harris, St. Pauls Church Yard.		1			1810	1810.	London	['Sherwood, Neely, and Jones', 'Black, Parry, and Kingsbury', 'Wilkie and Robinson', 'Cadell and Davies', 'Longman, Hurst, Rees, and Orme', 'Lackington, Allen and Co.', 'A. Newman and Co.', 'Cuthell and Martin', 'Vernor, Hood, and Sharpe', 'F., C. and J. Rivington (Firm)', 'R. Faulder and Son', 'Harris, J.', 'Jeffrey, E.', 'Booker, J.', 'Scholey, Robert', 'Asperne, James', 'Nunn, James,', 'Lea, R.', 'Richardson, J.', 'Johnson, J.', 'Walker, J.']	printed for J. Walker; J. Johnson; J. Richardson; R. Faulder and Son; F.C. and J. Rivington; Vernor, Hood, and Sharpe; R. Lea; J. Nunn; Cuthell and Martin; E. Jeffrey; Newman and Co.; Lackington, Allen and Co.; Longman, Hurst, Rees, and Orme; Cadell and Davies; Wilkie and Robinson; J. Booker; Black, Parry, and Kingsbury; Sherwood, Neely, and Jones; J. Asperne; R. Scholey; and J. Harris.					front.	['Added t. p., engraved.']	true				true				['']	['Third-person']	['Epistolary']				Author (text)	Proper name	Male				['preface.']	['London', 'Paternoster Row', 'St. Pauls Church Yard']	University of Pennsylvania		
260661	08227cam a2200805i  4500	eng	Bunyan, John	1628-1688.	by John Bunyan.	The pilgrim\\\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.			1	New ed. ... with the life of the author, to which are added explanatory and practical notes, by Messrs. Mason, Scott, and Burder.		1811	1811	Philadelphia		Published by Solomon Wiatt, No. 104, North Second St.					illus., port.	['There is an engraving on page 46 with the following description: ""Evangelist directing Christian to flee from the City of Destruction."']	Begins: ""The high estimation in which the 'Pilgrim's Progress' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things.""						true		['Hosea xii. 10.']	['First-person']	['Verse']										['pilgrim', 'progress', 'world', 'similitude', 'dream']		University of Pennsylvania		
260662	07573cam a2200925   4500	mul	Weber, Henry William	1783-1818.	by Henry Weber.	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Tales of the East.		3			1812	1812	Edinburgh		James Ballantyne and Company, for John Ballantyne and Company, Sylverster Doig and Andrew Stirling, Edinburgh				Octavo							true		true		['']	['First-person', 'Third-person']					Author (text)	Proper name	Male	Male			['', 'content']	['East']	University of Pennsylvania		
260665	01695cam a2200445   4500	eng	Austen, Jane	1775-1817.	By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."	Northanger Abbey: and Persuasion. By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."				4		First edition.	1818	1818.	London		John Murray, Albemarle-Street.						['""Biographical notice"" by Henry Austen: v. 1, p. [iii]-xvi."']									['']														University of Pennsylvania		
