id	title	author	date	a	b	c	d	e
260727	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']		['From the German of Klopstock.']
260752	Amatonda. A Tale, From the German of Anton Wall.	Wall, Anton	1811	['Translation']	['Title Page']			['From the German of Anton Wall']
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']	['']	['From the German of Klopstock.']
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Translation']	['Preface']	['French']		['Preface by the Translator']
276087	Horrid mysteries. A story. From the German of the Marquis of Grosse. By P. Will. In four volumes. Vol. I.	Grosse, Carl	1796	['Translation']	['Title page']	['German']		['From the German of the Marquis of Grosse.']
276105	Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Cambon	1790	['Translation']	['Title page']	['Dutch']		['Translated from the Dutch of Madame de Cambon. With alterations and improvements.']
440270	The empire of the Nairs; or, the rights of women. An utopian romance, in twelve books. By James Lawrence, author of The bosom friend, Love, an allegory, etc. In four volumes. Vol. I. Second edition.	Lawrence, James	1813	['Translation']	['Advertisement']	['German']		['The author of this work being in Germany in 1793, communicated his essay on the Nair system to the celebrated Wieland...Notwithstanding the flattering manner in which this work has been recieved on the continent, the author has been continually revising it; but having lately heard that a man of letters has not only translated it into English, but has already delivered his manuscript to a bookseller, he feels the neccesity of not longer delaying this publication, which, whatever may be its success, must be more acceptable to the public than a literal translation of the first German edition.']
440290	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Translation']	['To the Reader']	['English', 'French']	['Greek']	['A MS. copy was transmitted to me in Paris, with a request that I would forthwith see it translated into the English and French languages.']
440305	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Translation']	['Title page']	['French']		['From the French of Madame de Cottin.']
440332	Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant.	Brackenridge, H. H	1825	['Adaptation']	['Postscript']			["I had originally begun this work in verse, and have a volume by me, about two parts in three as large as Bulter's Hudibrass; from which composition I have extracted this; thinking it might be more acceptable in prose. When I visit this city next, I may produce that in verse, and let the people take their choice."]
440354	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Translation']	['To the Reader']	['English', 'French']	['Greek']	['A MS. copy was transmitted to me in Paris, with a request that I would forthwith see it translated into the English and French languages.']
440369	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Translation']	['Title page']	['French']		['From the French of Madame de Cottin.']
