id	author name	title catalog	pub date
260500	Orrery, Roger Boyle	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	1750
260503	Manley	Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.	1720
260518	Lambert de Saumery, Pierre	The devil turn\\\'d hermit : or the adventures of Astaroth banish\\\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.	1742
260663	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	1745
260664	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	1745
260674	Holberg, Ludvig	A journey to the world under-ground. By Nicholas Klimius [pseud.]  Translated from the original.	1742
260675	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	1742
260676	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	1742
260678	Cervantes Saavedra, Miguel de	The life and exploits of the ingenious gentleman Don Quixote de la Mancha. Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...	1742
260686	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	1744
260687	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	1744
260688	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	1744
260689		Alexis; or, The young adventurer. A novel ...	1746
260690		Memoirs of the love and state-intrigues of the court of H------; from the marriage of the Princes of Z-----, to the tragical death of Count K-----k: a home-truth. Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	1743
260691	Kirkby, John	The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	1746
260692		The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Tr. from a French manuscript ...	1746
260693		Leonora, or Characters drawn from real life : containing a great variety of incidents interspers\\\'d with reflections moral and entertaining : in two volumes.	1745
260694	Gomez	Select novels / translated from the French of Madame de Gomez ... ; never before published.	1745
260695		The Silph\\\'s resentment, or The Numidian coquet : a satyrical novel : to which is added, Revenge a-la-mode, an heroi-comic tale.	1742
260696	Kirkby, John	The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state, separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	1745
260697	Arbuthnot, Archibald	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers : from his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig / by the Rev. Archibald Arbuthnot ...	1746
260698		The Lady\\\'s drawing room : being a faithfull picture of the great world : in which the various humours of both sexes are display\\\'d, drawn from the life and interspers\\\'d with entertaining and affecting novels.	1744
260699	Fielding, Sarah	Familiar letters between the characters in David Simple, and some others : to which is added, A vision / by the author of David Simple ; in two volumes.	1747
260700	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	1748
260701	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	1748
260702	Haywood, Eliza Fowler	Secret histories, novels, and poems : in four volumes / written by Mrs. Eliza Haywood.	1746
260703	Haywood, Eliza Fowler	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	1748
260704	Haywood, Eliza Fowler	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	1748
260705		The Unfortunate concubines : the history of Fair Rosamond, mistress to Henry II, and Jane Shore, concubine to Edward IV, Kings of England : shewing how they came to be so : with their lives, remarkable actions, and unhappy ends / extracted from eminent records, and the whole illustrated with cuts suitable to each subject.	1748
260706	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	1749
260707	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes. By Henry Fielding, Esq.	1749
260708	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	1749
260709	Fielding, Sarah	The governess : or, Little female academy. Being the history of Mrs. Teachum, and her nine girls : with their nine days amusement : calculated for the entertainment and instruction of young ladies in their education / by the author of David Simple.	1749
260710		Dalinda, or The double marriage : being the genuine history of a very recent and interesting adventure : addressed to all the young and gay of both sexes.	1749
260711		The History of the human heart, or The adventures of a young gentleman.	1749
260712	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.	1744
260713	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.	1744
