id	title	author	date	a	d	1	b	2	c	x	v
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['There is no virtue more amiable in the osfter sex, than that mild and quiescent spirit of devotion, which, without entangling itself in the dogmas of religion, in melted by its charities and exhilarating by its hopes.']	['Title page']				['Cowper']		['v.1', 'v.2', 'v.3']
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816		['Epigraphs precede chapters']						['v.1', 'v.2', 'v.3']
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	Godwin, William	1816	['Ferdinand Mendez Pinto was but a type of thee, thou liar of the first magnitude.']	['Title page']	['Congreve.']					['v.1', 'v.2', 'v.3', 'v.4']
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['I have used similitudes.']		['Hosea xii. 10.']	['Hosea xii. 10.']				
260666	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.	Edgeworth, Maria	1810	["'And since in man right reason bears the sway, -- ' Let that frail thing, weak woman, have her way. '"]	['Title page']				['Pope']		
260667		Edgeworth, Maria	1810	["'And since in man right reason bears the sway, -- ' Let that frail thing, weak woman, have her way. '"]	['Title page']				['Pope']		
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Le denouement de soi-meme et la confiance dans le Ciel font les heros.']	['Title page']				['Sismondi']		['v.3']
260671	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.	Porter, Anna Maria	1817	["Let its pure flame -- From Virtue flow, and love can never fail -- To warm another's bosom, so the light -- Shine manifestly forth. --"]	['Title page']			["Carey's Dante."]			['v.1', 'v.2']
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['""The world\'s a stage, // ""And all the men and women merely players: // ""They have their exits and their entrances; // ""And one man, in his time, plays many parts.""']	['Title page']			['Shakespeare.']			['v.1"']
260685	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	More, Hannah	1813	['For not to know at large of things remote -- From ufe, obfeure and fubtle, but to know -- That which lies before us in daily life, -- Is the prime wifdom.']		['Paradise Lost']		['John Milton']	['Milton']		['v.1', 'v.2']
260729	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	Smollett, Tobias George	1817	['Materiam risus invenit ad omnes -- Occursus hominum -- Ridebat curas, nec non et gaudia vulgi; -- Interdum et lachrymas fundebat.']		['Liber Quartus']		['Juvenalis']			['v.1', 'v.2']
260732	The Brownie of Bodsbeck; and other tales. By James Hogg, author of ""The Queen's Wake,"" &c. &c. In Two Volumes. Vol. I.	Hogg, James	1818	['What, has this thing appeared again to-night?']		['Hamlet']		['Shakespeare']			['v.2', 'v.1']
260735	Self-control: a novel. Volume I.	Brunton, Mary	1811	["His warfare is within. There unfatigued -- His fervent spirit labours. There he fights, -- And there obtains fresh triumphs o'er himself, -- And never-withering wreaths, compared with which -- The laurels that a Caesar reaps are weeds."]		['The Winter Walk at Noon']		['William Cowper']	['Cowper']		
260736	The alderman and the peer; or, the ancient castle & modern villa. In three volumes. By Miss Byron, author of The Englishwoman, Hours of affluence and Days of indigence, &c. Vol. I.	Byron, Medora Gordon	1810	["Passions, like elements, though born to fight, -- Yet, mix'd and soften'd, in the work unite: -- These 'tis enough to temper and employ -- But what composes man can man destroy.  -- Suffice that Reason keep to Nature's road; -- Subject, compound them, follow her and God. -- Love, Hope, and Joy, fair Pleasure's smiling train, -- Hate, Fear, and Grief, the family of Pain; -- These mix'd with art, and to due bounds confi'd, -- Make and maintain the balance of the mind; -- The lights and shades, whose well-accorded strife -- Gives all the strength and colour of our life.  -- Pope."]			['An Essay on Man']		['Alexander Pope']		
260737	The Englishman in Paris; a satirical novel. With sketches of the most remarkable characters that have recently visited that celebrated capital. In three volumes. Vol. I.		1819	["Chaque age a ses plaisirs, son esprit et ses maeurs. - Boileau. -- Je ne sais rien appeler que par son nom, J'appele un chat, un chat, Rollin un Fripon."]	['Title page']				['Boileau']		['v.1', 'v.2', 'v.3']
260740	Discipline: a novel.  By the author of ""Self-control."" Volume I.	Brunton, Mary	1814	['All-pitying Heaven, -- Severe in mercy, chastening in love, -- Ofttimes in dark and awful visitation -- Doth interpose ; and leads the wanderer back -- To the straight path. -- Joanna Baillie']	['Title page']				['Joanna Baillie']		['v.1', 'v.2', 'v.3']
260741	The works of Hannah More, including several pieces never before published. Vol. I.	More, Hannah	1818	["In moral actions, Divine law helpeth exceedingly the law of Reason to guide a man's life; but in supernatural, it alone guideth.  Hooker."]	['Section title page']						['v.7']
260747	Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c. In four volumes.  Vol. I.	West	1814	["Wisdom is sable garb array'd,/Immers'd in rapturous thought profound,/And melancholy, silent maid,/With leaden eye that loves the ground,/Still on thy solemn steps attend:/ Warm Charity, the general friend,/With Justice to herself severe,/And PIty, dropping soft the sadly-pleasing tear. --"]	['Title-page']	['Ode to Adversity']	['Ode to Adversity']	["Gray's"]	['Gray']		
260757	Elfrida, heiress of Belgrove. A novel, in four volumes.  By Emma Parker. Vol. I.	Parker, Emma	1811	['""And yet, believe me, good as well as ill,/Woman\'s at best a contradiction still./Heav\'n when it strives to polish all it can/Its last best work, but forms a softer man."" // ""Reserve with frankness, art with truth ally\'d;/Courage with softness, modesty with pride:/ Fix\'d principles, with fancy ever new,/shake all together and produces - YOU!""']	['Title page']		['Epistle to a Lady']		['Alexander Pope']		['v.1', 'v.2', 'v.3', 'v.4"']
260762	The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c. Vol. I.	West	1810	['O, momentary grace of mortal man, -- Which more hunt for than the grace of God! -- Who builds his hope in air of your fair looks, -- Lives like a drunken sailor on the mast, -- Ready with every nod to tumble down -- Into the fatal bowels of the deep.']	['Title page']				['Shakespeare.']		['v.1', 'v.2', 'v.3']
260763	A tale of a tub, written for the universal improvement of mankind. To which is added, an account of a battle between the ancient and modern books in st. James's Library. With the author's apology, and explanatory notes, by W. Wotton, B.D. and others.	Swift, Jonathan	1811	['Diu multumque desideratum.']							
260772	The lake of Killarney: a novel, in two volumes. By Anna Maria Porter, author of Octavia, Walsh Colville, &c. &c.	Porter, Anna Maria	1810	['Ah, gentle pair, ye little think how nigh -- Your change approaches, when all these delights -- Will vanish, and deliver ye to woe; -- More woe, the more your taste is now to joy.']			['Paradise Lost']	['Milton']	['John Milton']		['v.2']
260776	Anne of Brittanny: an historical romance.  In three volumes. Vol. I.		1810	["Thou art my queen, the sovereign of my soul! -- You never reign'd with such triumphant lustre, -- Such winning charms, as now...."]	['Chapter 9']	['Tancred and Sigismunda']		['James Thomson']			['v.3']
260779	Bath and London; or, scenes in each. A novel. In four volumes. Vol. I.		1811	["What is man, -- When the worst heart can wear the brow of Virtue, -- And false appearance smile us to destruction! -- And yet, what is he not, when crown'd with Truth, -- With ev'ry social Virtue. --"]	['Title page']			['Havard']	['Havard']		['v.1', 'v.2', 'v.3', 'v.4']
260786	Frankenstein; or, The modern Prometheus. In three volumes. Vol. I.	Shelley, Mary Wollstonecraft	1818	['Did I request thee, Maker, from my clay -- To mould me man?  Did I solicit thee -- From darkness to promote me? ----']	['Title page']	['Paradise Lost']	['Paradise Lost']		['John Milton']		['v.1', 'v.2', 'v.3']
260790	Shakespeare's jest book.		1814	['Non semperea sunt, que videntur; decipit// Frons prima multos.']	['Middle']	['Phaedrus, Lib. iv. in prol.']					
260795	Tales of my landlord, third series, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1819	["Hear, Land o' Cakes and brither Scots, -- Frae Maidenkirk to Jonny Groats', -- If there's a hole in a' your coats, -- I rede ye tent it, -- A chiel's amang you takin' notes, -- An' faith he'll prent it. -- Burns"]	['Title page']						['v.1']
260796	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume I.	Fielding, Henry	1813	['Quis iniquce  -- Tam patiens urbis, tam ferreus, ut teneat se?']		['Satires']	['Juv. Sat. 1']	['Juvenal"']		['Epigraph for ""The Author\'s Farce""']	['v.1']
260799	The Scottish chiefs, a romance. In five volumes. By Miss Jane Porter, author of Thaddeus of Warsaw, and remarks on Sidney's aphorisms. Second edition. Vol. I.	Porter, Jane	1811	['There comes a voice that awakes my mind. It is the voice of years that are gone; they roll before me with all their deeds --']	['Title page']			['Ossian.']			['v.1', 'v.2', 'v.3', 'v.4', 'v.5']
260800	The spirit of ""the book;"" or, memoirs of Caroline Princess of Hasborough, a political and amatory romance. In three volumes. Vol. I. Edited by Thomas Ashe, Esq.		1811	['""The book."" --Any person having in their posession a certain book, printed by Mr. Edwards in 1807, but never published, with W. Lindsell\'s name as the seller of the same on the title page, and will bring it to W. Lindsell, bookseller, Wimpole-Street, will receive a handsome gratuity.--']	['Title page']	['Times paper, 27 March 1809']					['v.1"']
260801	Christmas tales, for the amusement & instruction of young ladies and gentlemen in winter evenings. With cuts by Bewick.		1811	['The cheerful sage, when solemn dictates fail, -- Conceals the moral counsel in - a Tale.']		['The Clockmaker']		['Sam Slick of Slickville']			
260804	Tales of my landlord, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1816	['It is mighty well, said the priest; pray, landlord, bring me those books, for I have a mind to see them. With all my heart, answered the host; and, going to his chamber, he brought out a little old cloke-bag, with a padlock and chain to it, and opening it, he took out three large volumes, and some manuscript papers written in a fine character.']		['Don Quixote, translated by Charles Jarvis']	['Don Quixote, translated by Charles Jarvis']		['Miguel de Cervantes']		['v.1', 'v.2', 'v.3', 'v.4']
260807	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['""L\'histoire d\'une femme est toujours un Roman.""']	['Title page']						['v.1', 'v.2', 'v.3"']
260809	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['""L\'histoire d\'une femme est toujours un Roman.""']	['Title page']						['v.1', 'v.2', 'v.3"']
260817	The vicar of Wakefield, a tale.	Goldsmith, Oliver	1810	['Sperate miseri; cavete felices.']	['Title page']						
260818	The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I.		1810	['Our actions are our heralds, and they fix--Beyond the date of tombs and epitaphs,--Renown or infamy.']		["Tobin's Curfew."]	['The Curfew: A Play']	['Tobin']	['John Tobin']		['v.1', 'v.2', 'v.3', 'v.4']
260819	Temper, or Domestic Scenes: A Tale, In Three Volumes, By Mrs. Opie. Vol. I.	Opie, Amelia Alderson	1812	['A horse not broken becometh headstrong, and a child left to himself will be wilful']		['King James Bible: Ecclesiasticus 30:8']					
260826	Rhoda: A Novel. By the Author of ""Things by their right names,"" ""Plain sense,"" &c. Second Edition. In three volumes. Vol. I.	Jacson, Frances	1816							['Chapter 27 epigraph of Volume 3']	['v.3']
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['But now the hand of fate is on the curtain, -- And gives the scene to light.']		['Don Sebastian']		['John Dryden']	['Don Sebastian']	['Chapter 12 Volume 3 epigraph']	['v.3']
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['But now the hand of fate is on the curtain, -- And gives the scene to light.']		['Don Sebastian']		['John Dryden']	['Don Sebastian']	['Chapter 12 Volume 3 epigraph']	['v.3']
260838	Traits of nature, by Miss Burney. Author of Clarentine, Geraldine Fauconberg, &c. Second edition, in four volumes. Vol. I.	Burney, Sarah Harriet	1812	['When the inevitable hand of sweeping Time shall have brushed off all the works of to-day, oh, may the fame of this survive till to-morrow!  --']	['Title page']			['Martinus Scriblerus']			
260843		Roche, Regina Maria	1815	["'Tis virtue makes the bliss where'er we dwell"]				['Wilkie Collins']	['Collins']		
260850		Bury, Charlotte Campbell	1812	["Heutreux qui ne livre son coeur du'a des sentiments doux et moderes et qui scait se garantir des passions violentes! --"]	['Title page']			['Madame de Genlis']			['v.1']
260852	Six Weeks at Long's. By a late resident. Second edition. In three volumes. Vol. I.	Barrett, Eaton Stannard	1817	['Longo ordine gentes.']		['The Aeneid']		['Virgil']			
260860	Things by their Right Names; A Novel, In Two Volumes. By a person without a name. Vol. I.	Jacson, Frances	1812	["Servant of God, well done! Well hast thou fought; -- And for the test'mony of truth hast borne -- Universal reproach, far worse to bear -- Than violence; this was all thy care, -- To stand approv'd in sight of God, though worlds -- Judg'd thee perverse."]		['Paradise Lost']		['John Milton']	['Milton']		
