id	title	author	date	type	transcription	notes	position	vol
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Errata']	['Errata']		['Back']	
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['Dedication']	["To her Royal Highness, the  Princess Elizabeth, hereditary Princess of Hesse Hombourg, these volumes, so highly honoured by her Royal Highness's gracious permission, are inscribed with profound respect, by, her Royal Highness's most obedient, and most humble servant, Sarah Harriet Burney."]		['Front']	
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810	['Introduction']	['Introductory remarks.']		['Front']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Table of contents']	['Contents']	['There are 20 chapters in the first part.', 'There are 15 chapters in the second part.', 'There are 12 chapters in the third and last part.']	['Back']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Errata']	['Errata.']		['Front']	
260668		Bunyan, John	1810	['Directions']	['Directions to the binder']		['Back']	
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Dedication']	['To those dear friends,']		['Front']	
260673	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Burney, Sarah Harriet	1816	['Advertisement']		['Entitled, ""Interesting Works, Lately published  by H. Colburn, Conduit Street.""', '27 works are listed."']	['Back']	['v.3']
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Table of contents']	['Contents of the third volume.']		['Front']	
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Preface']	['Preface or no preface']		['Front']	
260685	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	More, Hannah	1813	['Preface']	['Preface']	['Begins: ""When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf.""', 'It is signed, ""Coelebs."']	['Front']	
260723	Melmoth House: a novel. In three volumes, by Mrs. J. Jenner. Vol. I.	Jenner, J.	1816	['Introduction']	['Introduction']		['Front']	
260726	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Introduction']	['On Divine Poetry']	['Begins: ""The public have a right to expect that the painter, who submits his picture to their judgment, should hang it up, and go away in silence. This rule I have carefully observed, and, mingling with the spectators, have held my peace, and improved by their observations. Still would I proceed in the same manner, and only take aside such of the spectators as are willing to hear me, and place them in a situation, in which, I imagine, they will be enabled to view pieces of this kind, in a proper point of view. My design is not here confined to the Messiah, but to sacred poetry in general."']	['Front']	
260727	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	Klopstock, Friedrich Gottlieb	1811	['Explanatory Note']	['Explanatory Notes to book XVI. Explanatory Notes to book XVII. Explanatory Notes to book XVIII. Explanatory Notes to book XIX.']		['Back']	
260729	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	Smollett, Tobias George	1817	['Dedication']	['To Doctor ******']	['Begins: ""You and I, my good friend, have often deliberated on the difficulty of writing such a dedication as might gratify the self-complacency of a patron, without exposing the author to the ridicule or censure of the public; and I think we generally agreed that the task was altogether impracticable. -- Indeed, this was one of the few subjects on which we have always thought in the same manner: For, notwithstanding that deference and regard which we mutually pay to each other, certain it is, we have often differed, according to the predominancy of those different passions, which frequently warp the opinion, and perplex the understanding of the most judicious.""', 'it is signed, ""Dear Sir, Your very affectionate friend and servant, THE AUTHOR."']	['Front']	
260732	The Brownie of Bodsbeck; and other tales. By James Hogg, author of ""The Queen's Wake,"" &c. &c. In Two Volumes. Vol. I.	Hogg, James	1818	['Table of contents']	['Contents to Volume Second.']		['Back']	['v.2']
260734	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	Williams, John	1811	['Preface']	['Preface. [By the editor.]']		['Front']	
260735	Self-control: a novel. Volume I.	Brunton, Mary	1811	['Dedication']	['To Miss Joanna Baillie.']	['Begins: ""Madam, You would smile to hear the insect of a day pay the tribute of its praise to the lasting oak which aided its first feeble soaring -- Smile then; -- for a person whom nature, fortune, and inclination, alike have marked for obscurity, one whose very name may never reach your ear, offers this tribute of respect to the author of Plays on the Passions.""', 'Signed, ""I have the honour to be, with great respect, Madam, Your obedient Servant, The Author"" and dated, ""January 1811."']	['Front']	
260740	Discipline: a novel.  By the author of ""Self-control."" Volume I.	Brunton, Mary	1814	['Note']	['Notes']		['Back']	
260741	The works of Hannah More, including several pieces never before published. Vol. I.	More, Hannah	1818	['Preface']	['Preface']		['Front']	
260743	A world without souls, and the velvet cushion by J.W. Cunningham, A.M. Vicar of Harrow	Cunningham, J. W	1815	['Preface']	['Preface to the fifth edition']	['Begins: ""The Author of this little work cannot persuade himself to give another edition of it to the public, without addressing a few words to its readers.""', 'This is for ""The Velvet Cushion"']	['Middle']	
260745	An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6.  Giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions: interspersed with very entertaining anecdotes, and a variety of other useful and pleasing information, remarkably calculated to delight and instruct the readers. To which is added a complete dictionary of the Indian tongue.  By William Fisher, Esq.		1813	['Profit statement']	['Estimate of the produce of the several mines.']		['Front']	
260747	Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c. In four volumes.  Vol. I.	West	1814	['Preface']	['']	['Untitled']		
260751	Maria; or, the Hollanders: by Louis Buonaparte.  In three volumes.  Vol. I.	Louis Bonaparte	1815	['Preface']	['Preface to the translation']		['Front']	
260752	Amatonda. A Tale, From the German of Anton Wall.	Wall, Anton	1811	['Note']	['Note']		['Back']	
260758		Rose, Edward H	1811	['Preface']	['Preface']		['Front']	
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Explanatory Note']	['Explanatory Notes to book XVI. Explanatory Notes to book XVII. Explanatory Notes to book XVIII. Explanatory Notes to book XIX.']		['Back']	
260763	A tale of a tub, written for the universal improvement of mankind. To which is added, an account of a battle between the ancient and modern books in st. James's Library. With the author's apology, and explanatory notes, by W. Wotton, B.D. and others.	Swift, Jonathan	1811	['Explanatory Note']	['Directions for placing the Plates']	['Provides the names of the vairous engravings throughout the book.']	['Back']	
260771		Cottin	1810	['Preface']	['Preface']		['Front']	
260772	The lake of Killarney: a novel, in two volumes. By Anna Maria Porter, author of Octavia, Walsh Colville, &c. &c.	Porter, Anna Maria	1810	['Dedication']	['To the Rev. Percival Stockdaile, rector of Lesbury in Northumberland.']	['Begins: ""Sir, When I reflect upon the genius, taste, and judgment of him, to whom I would dedicate this world, I beocme inclined to withhold from myself so great a pleasure: but when the certainty of his indulgent friendship presents itself to my mind, I am released from my apprehension, and cheerfully hasten to inscribe these volumes in the name of Percival Stockdale.""', 'Ends: ""I trust that I have now depricated the severity of criticism, since I honestly confess my mediocrity, and prepare my readers for the unimportance of my work""']	['Front']	['v.1', 'v.1"']
260773	Rasselas, a tale. By Samuel Johnson, LL.D.	Johnson, Samuel	1816	['About the author']	['Some Account of the Life and Writings of Dr. Johnson']	['Begins: ""Samuel Johnson was born at Litchfield, in Staffordshire, on the 7th of September 1709. He was the eldest son of Michael Johnson, a bookseller in that city. His mother, Sarah Ford, descended from a respectable family in Warwickshire, was sister to Dr. Joseph Ford, an eminent physician, and father of Cornelius Ford, the celebrated chaplain of Lord Chesterfield.""', 'Ends: ""His failings, when contrasted with his virtues, sink into insignificance; and his work will be read with veneration for their author, as long as the language in which they are written shall be understood."']	['Front']	
260776	Anne of Brittanny: an historical romance.  In three volumes. Vol. I.		1810	['Note']	['Notes']	['There are 9 notes in total.']	['Back']	['v.3']
260777	Julia de Vienne. A novel. In four volumes. Imitated from the French, by a lady. Vol. I.	A Lady	1811	['Dedication']	['To his Royal Highness the Prince of Wales']		['Front']	
260780	The officer's daughter; or, A visit to Ireland in 1790. By the daughter of a captain in the Navy, deceased.  In four volumes. Vol. I.	Walsh	1810	['Dedication']	['To the Hon. Mrs. Fane.']		['Front']	
260786	Frankenstein; or, The modern Prometheus. In three volumes. Vol. I.	Shelley, Mary Wollstonecraft	1818	['Preface']	['Preface']		['Front']	
260788	Tales from Shakespeare, designed for the use of young persons. By Charles Lamb. In two volumes. Vol. I.	Lamb, Charles	1813	['Table of contents']	['Contents of the first volume.']		['Front']	
260790	Shakespeare's jest book.		1814	['Note']	['xv']		['Middle']	
260796	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume I.	Fielding, Henry	1813	['Epilogue']	['Epilogue']	['Epilogue for ""The Author\'s Farce"']	['Middle']	['v.1']
260799	The Scottish chiefs, a romance. In five volumes. By Miss Jane Porter, author of Thaddeus of Warsaw, and remarks on Sidney's aphorisms. Second edition. Vol. I.	Porter, Jane	1811	['Errata']	['Errata']			['v.3']
260800	The spirit of ""the book;"" or, memoirs of Caroline Princess of Hasborough, a political and amatory romance. In three volumes. Vol. I. Edited by Thomas Ashe, Esq.		1811	['Preface']	['preface']			['v.1']
260801	Christmas tales, for the amusement & instruction of young ladies and gentlemen in winter evenings. With cuts by Bewick.		1811	['Advertisement']		['""The following amusing and instructive books for children (adorned with cuts by Bewick) are just published by Wilson and son, York; price 1s. each."']	['Back']	
260804	Tales of my landlord, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1816	['Conclusion']	['Peroration']	['Begins: ""It was mine earnest wish, most courteous Reader, that the ""Tales of my Landlord"" should have reached thine hands in one entire succession of tomes, or volumes. But as I sent some few more manuscript quires, containing the continuation of these most pleasant narratives, I was apprised, somewhat unceremoniously, by my publisher, that he did not approve of novels (as he injuriously called these real histories) extending beyond four volumes, and if I did not agree to the first four being published separately, he threatened to decline the article (O, ignorance! as if the vernacular article of our mother English were capable of declension!)""', 'Ends: ""I rest, esteemed Reader, thine as thou shalt construe me, Jedediah Cleishbotham.""', 'It is dated, ""Gandercleugh, Nov. 15, 1816."']	['Back']	['v.4']
260807	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['Index']	['Notes.']		['Back']	
260809	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['Index']	['Notes.']		['Back']	
260815	Armata: a fragment. Sixth edition.	Erskine, Thomas Erskine	1818	['Appendix']	['Appendix.']		['Back']	
260816	The second part of Armataa.  Fourth edition.	Erskine, Thomas Erskine	1818	['Appendix']				
260817	The vicar of Wakefield, a tale.	Goldsmith, Oliver	1810	['Advertisement']	['Advertisement.']		['Front']	
260818	The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I.		1810	['Errata']	['Errata.']		['Back']	['v.1', 'v.2', 'v.3', 'v.4']
260819	Temper, or Domestic Scenes: A Tale, In Three Volumes, By Mrs. Opie. Vol. I.	Opie, Amelia Alderson	1812	['Advertisement']	['New Works']		['Back']	['v.3']
260822	The life and advenutres of Peter Wilkins, a Cornish man: taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector.  By R.S., a passenger in the Hector.  In two volumes.  Vol. I.  A new edition, embellished with engravings.	Paltock, Robert	1816	['Introduction']	['Introduction']		['Front']	
260825	The wars of the gulls; an historical romance. In three chapters. Chap. I. Shewing how, and why, and with whom the Gulls went to war. Chap. II. Shewing how the Gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the Gulls goes forth to play the game of hull-gull in Upper Canada, ""And from the pinnacle of glory, --- falls headlong into purgatory.""	Bigelow, Jacob	1812	['Table of contents']		['Appears on title page']	['Front']	
260827	Charenton; or, the follies of the age: A philosophical romance. By M. De Lourdoueix. Translated from the french.	De Lourdoueix, M	1818	['Advertisement']	['Recent Publications by Baldwin, Cradock, and Joy.']		['Back']	
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Note']	['Note']	['Reads: ""Here the original manuscript ends somewhat abruptly. I have reason to think that what followed related to private affairs""', 'Appears in brackets at the end of the novel.']	['Back']	['v.3"']
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Note']	['Note']	['Reads: ""Here the original manuscript ends somewhat abruptly. I have reason to think that what followed related to private affairs""', 'Appears in brackets at the end of the novel.']	['Back']	['v.3"']
260838	Traits of nature, by Miss Burney. Author of Clarentine, Geraldine Fauconberg, &c. Second edition, in four volumes. Vol. I.	Burney, Sarah Harriet	1812	['Advertisement']	['Advertisement']		['Front']	
260843		Roche, Regina Maria	1815	['Table of contents']	['Contents. To Vol. II.']	['Letters 33 - 81 are listed, as well as chapters 14 - 18.']	['Front']	['v.2']
260852	Six Weeks at Long's. By a late resident. Second edition. In three volumes. Vol. I.	Barrett, Eaton Stannard	1817	['Preface']	['Preface']	['Begins: ""Before any reader enters upon the following work, it is natural that I should endeavor to conciliate his good opinion, and to anticipate any objections which may be made against the plan and execution of my story.""', 'Ends: ""That I may not have succeeded in my attempt at this style is highly probably -- I repeat that it is only an attempt. The critics must decide for me, or rather the republic; for it is the reviewer\'s business to decry every innovation at first, and never to be brought round till it becomes an innovation no longer."']	['Front']	
260858	The Scottish Adventurers, or, The Way to Rise; An historical tale. By Hector Macneill, Esq. In Two Volumes. Vol. I.	Macneill, Hector	1812	['Dedication']	['To John Campbell, Esq. Tertius.']	['Begins: ""MyDear Sir, Having hitherto dedicated my literary productions to my most intimate and valued friends, I embrace the only opportunity, which perhaps I may ever have, to include you in the number, by addressing the following Work to one, whose exemplary conduct as a husband and as a father, has uniformly met iwth my warmest approbation.', 'Ends: ""With every stentiment of affection and esteem, I remain, My Dear Sir, Yours most faithfully, THE AUTHOR.""', 'It is dated, ""Edinburgh, 4th February, 1812."']	['Front']	
