id	author name	title catalog	pub date
260496	Weston, Anna Maria	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.	1814
260498	Hawkins, Laetitia Matilda	Rosanne, or, A father\\\'s labour lost / by Laetitia-Matilda Hawkins.	1814
260507	Leadbeater, Mary	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.	1814
260508	Burney, Sarah Harriet	Tales of fancy / by S. H. Burney. ...	1816
260658	Godwin, William	St. Leon : a tale of the sixteenth century / BY William Godwin.	1816
260659	Malory, Thomas	The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.	1816
260660	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.	1810
260661	Bunyan, John	The pilgrim\\\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.	1811
260662	Weber, Henry William	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.	1812
260665	Austen, Jane	Northanger Abbey: and Persuasion. By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."	1818
260666	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.	1810
260667	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.	1810
260668	Bunyan, John	A true relation of the holy war, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, The losing and taking again of the town of Mansoul. By John Bunyan.	1810
260669	Porter, Anna Maria	The knight of St. John : a romance / by Miss Anna Maria Porter ....	1817
260670	Porter, Anna Maria	The knight of St. John, a romance, by Miss Anna Maria Porter ...	1817
260671	Porter, Anna Maria	The Knight of St. John : a romance / by Anna Maria Porter.	1817
260672	Johnson, R	The blossoms of morality : intended for the amusement and instruction of young ladies and gentlemen / by the editor of The looking-glass for the mind.	1810
260673	Burney, Sarah Harriet	Clarentine : a novel / by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	1816
260677		The Irish emigrant. An historical tale founded on fact, by an Hibernian [pseud.]	1817
260679	Opie, Amelia Alderson	The father and daughter : a tale / by Amelia Opie.	1812
260680	Ryley, S. W	The itinerant, or Memoirs of an actor / by S.W. Ryley : in two volumes.	1810
260681	Ryley, S. W	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	1817
260682	Ryley, S. W	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	1817
260683	Ryley, S. W	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	1816
260684	Ryley, S. W	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	1816
260685	More, Hannah	Coelebs in search of a wife : comprehending observations on domestic habits and manners, religion and morals.	1813
260716	Hamilton, Elizabeth	Translation of the letters of a Hindoo rajah; written previous to, and during the period of his residence in England. To which is prefixed, a preliminary dissertation on the history, religion, and manners, of the Hindoos. By Elizabeth Hamilton.	1811
260723	Jenner, J.	Melmoth House : a novel : in three volumes / by Mrs. J. Jenner.	1816
260725	Dow, Lorenzo	History of Cosmopolite, or The four volumes of Lorenzo\\\'s journal, concentrated in one : containing his experience and travels, from childhood to 1814, being upwards of thirty-six years.	1814
260726	Klopstock, Friedrich Gottlieb	The messiah / attempted from the German of Mr. Klopstock, by Mr. Collyer ...	1811
260727	Klopstock, Friedrich Gottlieb	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	1811
260728	Waln, Robert	The hermit in America on a visit to Philadelphia : containing some account of the human leeches, belles, beaux, coquettes, dandies, cotillion parties, supper parties, tea parties, &c. &c. of that famous city, and the poets and painters of America / edited by Peter Atall, Esq.	1819
260729	Smollett, Tobias George	The adventures of Ferdinand, count Fathom, by Dr. Smollett.	1817
260730	Helme, Elizabeth	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth. By Elizabeth Helm.	1814
260731	More, Hannah	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals.	1810
260732	Hogg, James	The brownie of Bodsbeck, and other tales / by James Hogg ...	1818
260733	Graves, Richard	The spiritual Quixote, or, The summer\\\'s ramble of Mr. Geoffry Wildgoose. A comic romance. To which is prefixed the life of the author.	1816
260734	Williams, John	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	1811
260735	Brunton, Mary	Self-control: a novel.	1811
260736	Byron, Medora Gordon	The alderman and the peer, or, The ancient castle & modern villa : in three volumes / by Miss Byron.	1810
260737		The Englishman in Paris : a satirical novel : With sketches of   the most memorable characters that have recently visited that celebrated        capital ... In three volumes.	1819
260738	Byron, Medora Gordon	Celia in search of a husband / By a modern antique.	1819
260740	Brunton, Mary	Discipline: a novel. By the author of Self-Control.	1814
260741	More, Hannah	The works of Hannah More : including several pieces never before published.	1818
260742	Grant, Anne MacVicar	Letters from the mountains; being the real correspondence of a lady, between the years 1773 and 1807.	1813
260743	Cunningham, J. W	A world without souls ; and, The velvet cushion / by J.W. Cunningham.	1815
260744	Cunningham, J. W	A world without souls ; and, The velvet cushion / by J.W. Cunningham.	1815
260745		An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6 : giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions : interspersed with very entertaining anecdotes ... : to which is added a complete dictionary of the Indian tongue / by William Fisher, Esq.	1813
260747	West	Alicia de Lacy : an historical romance / by the author of ""The loyalists,"" &c."	1814
260748	Helme, Elizabeth	Instructive rambles in London and the adjacent villages : Designed to amuse the mind and improve the understanding of youth / by Elizabeth Helme.	1811
260749	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	1814
260750	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	1814
260751	Louis Bonaparte	Maria; or, The Hollanders / by Louis Bonaparte.	1815
260752	Wall, Anton	Amatonda : a tale from the German of Anton Wall.	1811
260753		A short account of the courtship of Alonzo & Melissa : setting forth their hardships and difficulties, caused by the barbarity of an unfeeling father / by Daniel Jackson, Jun.	1811
260754		The Asylum, or, Alonzo and Melissa : an American tale, founded on fact / by I. Mitchell.	1811
260755	Foster, Hannah Webster	The coquette, or, The history of Eliza Wharton : a novel, founded on fact / by a lady of Massachusetts.	1811
260756	Irving, Washington	Salmagundi : or, The whim-whams and opinions of Launcelot Langstaff, esq. and others ....	1811
260757	Parker, Emma	Elfrida, heiress of Belgrove : a novel. / By Emma Parker.	1811
260758	Rose, Edward H	The sea-devil; or, Son of a bellows-mender : a tragi-comic romance of the present day. In two volumes. / By Edward Rose, seaman.	1811
260759	Klopstock, Friedrich Gottlieb	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	1811
260760	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	1811
260761	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	1811
260762	West	The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c."	1810
260763	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : To which is added an account of a battle between the ancient and modern books in St. James Library : with the author\\\'s apology, and explanatory notes / by W. Wotton, B.D. and others.	1811
260764	Fowler, George	The wandering philanthropist; or, Lettres [sic] from a Chinese. Written during his residence in the United States. Discovered and edited by George Fowler.	1810
260765		Dame Partlet\\\'s farm : containing an account of the great riches she obtained by industry, the good life she led, and alas good reader! her sudden death : to which is added, a hymn, written by Dame Partlett, just before her death, and an epitaph for her tomb stone.	1810
260766		Rosa; or, American genius and education.	1810
260767	Barrett, Eaton Stannard	The metropolis, or, A cure for gaming ; interspersed with anecdotes of living characters in high life / by Cervantes Hogg [pseud]	1811
260768	Cottin	The Saracen; or, Matilda and Malek Adhel, a crusade romance, from the French of Madame Cottin, with an historical introduction, by J. Michaud.	1810
260769	Brown, Charles Brockden	Ormond : or, The secret witness / by B. C. Brown.	1811
260770	Hunter, Rachel	Letters from Mrs. Palmerstone  to her daughter; inculcating morality by entertaining narratives. By Mrs. Hunter.	1810
260771	Cottin	Elizabeth, or, The exiles of Siberia.	1810
260772	Porter, Anna Maria	The lake of Killarney : a novel in two volumes / by Anna Maria Porter.	1810
260773	Johnson, Samuel	Rasselas, : a tale. / By Samuel Johnson, LL.D.	1816
260774	Smith, Charlotte Turner	The old manor house : a novel / By Charlotte Smith.	1810
260775	Cuthbertson, Catherine	Forest of Montalbano : a novel / by the author of Santo Sebastiano and The romance of the Pyrenees.	1810
260776		Anne of Brittany : an historical romance.	1810
260777	A Lady	Julia de Vienne : a novel, imitated from the french / by a lady.	1811
260778	Goulburn, Edward	Frederick de Montford : a novel / By the author of The pursuits of fashion.	1811
260779		Bath and London ; or, Scenes in each : a novel.	1811
260780	Walsh	The officer\\\'s daughter ; or, A visit to Ireland in 1790 / By the Daughter of a Captain in the Navy, deceased.	1810
260781		The avenger ; or, The Sicilian vespers : a romance of the thirteenth century, not inapplicable to the nineteenth.	1810
260782	Austen, Jane	Emma: a novel. In three volumes. By the author of ""Pride and prejudice,"" &c. &c. ..."	1816
260783	Austen, Jane	Mansfield Park; a novel in three volumes By the author of ""Pride and prejudice."	1816
260784	Austen, Jane	Mansfield Park: a novel.  In three volumes. By the author of ""Sense and sensibility"", and ""Pride and prejudice"" ..."	1814
260785	Austen, Jane	Sense and sensibility : a novel in three volumes / By a lady.	1811
260786	Shelley, Mary Wollstonecraft	Frankenstein, or, The modern Prometheus.	1818
260787	Friend to St. Peter	The trial of Antichrist, otherwise, the man of sin, for high treason against the Son of God ... / taken in short hand by a friend to St. Peter.	1810
260788	Lamb, Charles	Tales from Shakspeare : designed for the use of young persons ...	1813
260789	T. B	The life and death of the Merry Deuill of Edmonton : with the pleasant pranks of Smug the Smith, Sir John, and mine host of the George about the stealing of venison / by T.B.	1819
260790		Shakespeare\\\'s jest book / [edited by Samuel Weller Singer].	1814
260791	Ellis, George	Specimens of early English metrical romances : chiefly written during the early part of the fourteenth century ; to which is prefixed an historical introduction, intended to illustrate the rise and progress of romantic composition in France and England / by George Ellis, esq.	1811
260792	Harington, John	The metamorphosis of Ajax : a cloacinean satire, with the Anatomy and Apology, to which is added, Ulysses upon Ajax.	1814
260793	Painter, William	The palace of pleasure, beautified, adorned, and well furnished with pleasant histories and excellent novels, very requisite for delight and profit : Chosen and selected out of divers good and commendable authors.	1813
260794	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	1819
260795	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	1819
260796	Fielding, Henry	The works of Henry Fielding, esq., with An essay on his life and genius/ by Arthur Murphy, Esq.	1813
260797	Swift, Jonathan	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick\\\'s, Dublin / Arranged by Thomas Sheridan, A.M. with notes, historical and critical.	1812
