id	orig language (base)	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition trans	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution
260496	eng	Weston, Anna Maria.		by Anna Maria Weston.	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.			3		1814	1814.	London :		Printed for Thomas Tegg, No. 111, Cheapside.				Duodecimo												Third-person	Poem(s)				Author (text)		Female	Female			pleasure | pain | fate | novel | pleasure | pain | fate | novel | pleasure | pain | fate | novel		University of Pennsylvania
260498	eng	Hawkins, Laetitia Matilda,	1760-1835.	by Laetitia-Matilda Hawkins.	Rosanne, or, A father\'s labour lost / by Laetitia-Matilda Hawkins.	Rosanne; or, a father\'s labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Rosanne. Vol. II.		3		1814	1814.	London :		Printed for F.C. and J. Rivington, No. 62, St. Paul\'s Church-Yard				Octavo				true	true				true								Author (text)	Proper name			Fiction		father | labour		University of Pennsylvania
260500	eng	Orrery, Roger Boyle,	1621-1679.	wrote by a party in his pleasures, and now publish\'d from the original papers by a person of quality ...	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\'d from the original papers by a person of quality ...	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish\'d from the original papers, by a person of quality. Price one shilling			1		1750	1750.	London :		Printed for J. Freeman, in Fleet-Street.				Duodecimo		"Originally published under title: English adventures. | """"The Earl of Orrery is the reputed author of \'English adventures, by a person of quality,\' 1676."""" -- Dict. nat. biog."" | """"The end of the first tome ..."""": p. 78; no further vols. published."" | Signatures: [pi]1, B-E8, F7"										Third-person					Author (text)		Indeterminate				adventure | history | king | court | party | pleasure | paper | person | quality | price | shilling		University of Pennsylvania
260503	ita	Manley,	1663-1724.		Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I			4	6th edition.	1720	1720.	London :		Printed for John Morphew near Stationers-Hall.				Duodecimo	ill ;	Running title: The New Atalantis. | Frontispiece caption reads: O sacred truth inspire and rule my page- so may reforming satire mend a vicious- Whilst thy enlightening rays adorn & guard- Astrea\'s glorious form surveys the race,- And virtue wears ye bright Ormonda\'s face | Vols. 3-4 were first published in 1710 under the title Memoirs of Europe, towards the close of the eight century. Written by Eginardus...	true	true					true			Third-person	First-person			true	Translator (text)		Male		Fiction		memoir | manner | person | sex | island	Atalantis | Mediterranean	University of Pennsylvania
260507	eng	Leadbeater, Mary,	1758-1826.	by Mary Leadbetter and Elizabeth Shakleton.	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.				1		1814	1814.	Dublin :		Printed by J. Cumming,					ill. ;																								University of Pennsylvania
260508	eng	Burney, Sarah Harriet,	1772-1844.	by S. H. Burney. ...	Tales of fancy / by S. H. Burney. ...	Tales of fancy, by S.H. Burney. Author of \'Clarentine,\' \'Geraldine Fauconberg,\' and \'Traits of nature. \' The shipwreck.	Tales of fancy, by S.H. Burney. Vol. I Containing the shipwreck		3	2nd edition.	1816	1816.	London :		Printed for Henry Colburn, Public Library, Conduit Street, Hanover Square.				Duodecimo				true								Third-person | First-person	Epistolary				Author (text)		Indeterminate		Fiction | Fiction		tale | fancy | shipwreck | tale | fancy | Author | Trait | nature | shipwreck | shipwreck | tale | tale | fancy | Author | Trait | nature | Country | neighbour | secret | country | neighbour | tale | fancy | country | neighbour | country | neighbour		University of Pennsylvania
260518	eng	Lambert de Saumery, Pierre,	b. ca. 1690.		The devil turn\'d hermit : or the adventures of Astaroth banish\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.				1		1742	1742.	London :		Printed for T. Waller,						Anonymous. By Pierre Lambert de Saumery.																							University of Pennsylvania
260658	eng	Godwin, William,	1756-1836.	BY William Godwin.	St. Leon : a tale of the sixteenth century / BY William Godwin.	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	The travels of St. Leon		4	The third edition.	1816	1816	London :		Printed for W. Simpkin and R. Marshall, Stationers-court, Ludgate-street				Octavo											Congreve.						Author (text)		Male	Male			travel | tale | century		University of Pennsylvania
260659	eng	Malory, Thomas,	15th cent.		The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.				2		1816	1816.	London,		Printed for Walker and Edwards, etc.,					fronts.	Each volume has added t.-p. engraved. | First printed by Caxton in 1485.  The 2d edition was printed by Wynkyn de Worde in 1498.  A 3d edition was printed by Thomas East, but without date; after which no edition can be traced until that of 1634, of which the volume now before the reader is an exact reprint.  cf. Pref. | Printed for the last time in black letter in the year 1634 by William Stansby.																							University of Pennsylvania
260660	eng	Fielding, Henry,	1707-1754.	Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	The history of the adventures of Joseph Andrews. By Henry Fielding, Esq. London, published by J. Walker, Paternoster Row, and J. Harris, St. Pauls Church Yard.		1		1810	1810.	London :		printed for J. Walker; J. Johnson; J. Richardson; R. Faulder and Son; F.C. and J. Rivington; Vernor, Hood, and Sharpe; R. Lea; J. Nunn; Cuthell and Martin; E. Jeffrey; Newman and Co.; Lackington, Allen and Co.; Longman, Hurst, Rees, and Orme; Cadell and Davies; Wilkie and Robinson; J. Booker; Black, Parry, and Kingsbury; Sherwood, Neely, and Jones; J. Asperne; R. Scholey; and J. Harris.					front.	"Added t. p., engraved. | Illustrated frontispiece with the caption, """"Joseph and Fanny taking advantage of the parson\'s nap, to enjoy a tete a tete. Pg. 159."""	true				true					Third-person	Epistolary				Author (text)	Proper name	Male				history | adventure | history | adventure | friend | imitation | manner | author	London | Paternoster Row | St. Pauls Church Yard	University of Pennsylvania
260661	eng	Bunyan, John,	1628-1688.	by John Bunyan.	The pilgrim\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.	The pilgrim\'s progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.			1	New ed. ... with the life of the author, to which are added explanatory and practical notes, by Messrs. Mason, Scott, and Burder.	1811	1811	Philadelphia :		Published by Solomon Wiatt, No. 104, North Second St.					illus., port.	"There is an engraving on page 46 with the following description: """"Evangelist directing Christian to flee from the City of Destruction."" | There is an engraving on page 216 with the following description: """"Christian & Hopeful having passed the river are received by the Ministering Spirits."" | There is an engraving on page 231 with the following description: """"Christiana prevails with her Children to go on Pilgrimage."" | There is an engraving on page 234 with the following description: """"Christiana, her children, and Mercy leave the City of Destruction."" | There is an engraving on page 269 with the following description: """"Christiana, Mercy, & her children passing the gibbet of Sloth, Simple, & Presumption."" | There is an engraving on page 340 with the following description: """"Doubting Castle Demolished."" | There is an engraving on page 342 with the following description: """"Godly-man persecuted by Prejudice and Ill-will at Mount Innocence."" | There is a brief plot summary preceding each chapter. | Part 3 has special t. p."	"Begins: """"The high estimation in which the \'Pilgrim\'s Progress\' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things."""""						true		Hosea xii. 10.	First-person	Verse										pilgrim | progress | world | similitude | dream		University of Pennsylvania
260662	mul	Weber, Henry William,	1783-1818.	by Henry Weber.	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights\' entertainments.	Tales of the East.		3		1812	1812	Edinburgh		James Ballantyne and Company, for John Ballantyne and Company, Sylverster Doig and Andrew Stirling, Edinburgh				Octavo							true		true			First-person | Third-person					Author (text)	Proper name	Male	Male			tale | tale | romances | origin | imitation | author | translation | dissertation | account | work | translator | night | entertainment | tale | romances | origin | imitation | author | translation | dissertation | account | work | translator | night | tale | romances | origin | imitation | author | translation | dissertation | account | work | translator | genii | history | son | tale | night | entertainment | night | tale | tale | tale | history | tale | night | entertainment | tale | tale | tale | tale | genii | tale | history | son	East | East | East | East | East | Arabian | Delhi | East	University of Pennsylvania
260663	eng	Haywood, Eliza Fowler,	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1		1745	1745.	Dublin :		Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.	true									Third-person											foundling | history | sister | issue | son | accident | travel | character | adventure | person | condition | court | whole | entertainment | improvement | youth | sex	Europe	University of Pennsylvania
260664	eng	Haywood, Eliza Fowler,	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1		1745	1745.	Dublin :		Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.	true									Third-person											foundling | history | sister | issue | son | accident | travel | character | adventure | person | condition | court | whole | entertainment | improvement | youth | sex	Europe	University of Pennsylvania
260665	eng	Austen, Jane,	1775-1817.	"By the author of """"Pride and prejudice"""", """"Mansfield-Park"""", &c.  With a biographical notice of the author ..."""	"Northanger Abbey: and Persuasion. By the author of """"Pride and prejudice"""", """"Mansfield-Park"""", &c.  With a biographical notice of the author ..."""				4		1818	1818.	London:		John Murray, Albemarle-Street.						"""""Biographical notice"""" by Henry Austen: v. 1, p. [iii]-xvi."""																							University of Pennsylvania
260666	eng	Edgeworth, Maria,	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.	The modern Griselda. A tale. By Miss Edgeworth, author of The parent\'s assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.			1	1st American edition	1810	1810	Georgetown :		Published by Joseph Milligan,				Duodecimo												Third-person	Epistolary | Essay				Author (text)		Female		Fiction | Fiction		tale | author | parent | assistant | tale | life | letter | lady | tale | edition | self-justification | essay | science		University of Pennsylvania
260667	eng	Edgeworth, Maria,	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.				1	1st American ed.	1810	1810	Georgetown :		Published by Joseph Milligan,				Duodecimo												Third-person	Epistolary | Essay				Author (text)		Female				letter | lady | essay | science | self-justification		University of Pennsylvania
260668	eng	Bunyan, John,	1628-1688.	By John Bunyan.	A true relation of the holy war, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, The losing and taking again of the town of Mansoul. By John Bunyan.				1	A new edition, illustrated with copious notes, and embellished with elegant engravings, etc.	1810	1810.	London		Bourne and R. Evans				Quarto	ill.				true				true			Third-person				true	Author (text)		Male	Male	Mixed genre		relation | war | metropolis | world | town | minister | gospel | author | pilgrim | progress | works		University of Pennsylvania
260669	eng	Porter, Anna Maria.	1780-1832.	by Miss Anna Maria Porter ....	The knight of St. John : a romance / by Miss Anna Maria Porter ....	"The knight of St. John, a romance. By Miss Anna Maria Porter, author of """"The Recluse of Norway,"""" &c. &c. &c. In three volumes. Vol. I."			3		1817	1817.	London :		Longman, Hurst, Rees, Orme, and Brown, Paternoster-row.				Duodecimo		First ed. Cf. Block, p. 188.		true							 | Carey\'s Dante.	Third-person			true		Author (text)		Female	"Female"""			knight | romance | author | Recluse	Norway	University of Pennsylvania
260670	eng	Porter, Anna Maria.	1780-1832.	by Miss Anna Maria Porter ...	The knight of St. John, a romance, by Miss Anna Maria Porter ...				3	2d ed.	1817	1817.	London :		Printed for Longman, Hurst, Rees, Orme, and Brown,						Publisher\'s advertisements: [18] p. at end of vol. 3.																							University of Pennsylvania
