id	leader	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260500	02581cam a2200457 a 4500	Orrery, Roger Boyle	1621-1679.	wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling			1			1750	1750.	London	['J. Freeman']	Printed for J. Freeman, in Fleet-Street.				Duodecimo		['Originally published under title: English adventures.']									['']	['Third-person']					Author (text)		Indeterminate				['adventure', 'history', 'king', 'court', 'party', 'pleasure', 'paper', 'person', 'quality', 'price', 'shilling']		University of Pennsylvania		
260503	04912mam a2200685u  4500	Manley	1663-1724.		Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I			4	6th edition.	Sixth edition.	1720	1720.	London	['J. Morphew', 'John Morphew']	Printed for John Morphew near Stationers-Hall.				Duodecimo	ill ;	['Running title: The New Atalantis.']	true	true					true		['']	['Third-person']	['First-person']			true	Translator (text)		Male		['Fiction']		['memoir', 'manner', 'person', 'sex', 'island']	['Atalantis', 'Mediterranean']	University of Pennsylvania		
260518	01184cam a2200277 i 4500	Lambert de Saumery, Pierre	b. ca. 1690.		The devil turn\\\'d hermit : or the adventures of Astaroth banish\\\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.				1			1742	1742.	London		Printed for T. Waller,						['Anonymous. By Pierre Lambert de Saumery.']									['']														University of Pennsylvania		
260663	02995cam a2200433 a 4500	Haywood, Eliza Fowler	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1			1745	1745.	Dublin	['Bradley, A.']	Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.']	true								['']	['Third-person']											['foundling', 'history', 'sister', 'issue', 'son', 'accident', 'travel', 'character', 'adventure', 'person', 'condition', 'court', 'whole', 'entertainment', 'improvement', 'youth', 'sex']	['Europe']	University of Pennsylvania		
260664	03035cam a2200457 a 4500	Haywood, Eliza Fowler	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1			1745	1745.	Dublin	['Bradley, A.']	Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.']	true								['']	['Third-person']											['preface']	['Europe']	University of Pennsylvania		
260674	02395cam a2200517   4500	Holberg, Ludvig	1684-1754.	By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.			1			1742	1742.	London	['T. Astley']	Printed for T. Astley, at the Rose in St. Paul\\\'s Church-Yard ; and B. Collins, Bookseller, in Salisbury.				Duodecimo		['Translation of Nicolai Klimii iter subterraneum.']									['']					true	Author (text)	Nicholas Klimius	Male				['journey', 'world']		University of Pennsylvania		
260675	04701cam a2200685   4500	Mouhy, Charles de Fieux	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2			1742	1742.	London	['Cogan, F.']	Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		['Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369.']	true		true						['']	['First-person']			true						["Publishers' advertisements"]		['busy-body', 'spy']		University of Pennsylvania		
260676	04623cam a2200697   4500	Mouhy, Charles de Fieux	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2			1742	1742.	London	['Cogan, F.']	Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		['Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369.']	true		true						['']	['First-person']									["Publishers' advertisements"]		['preface']		University of Pennsylvania		
260678	02019cam a2200445   4500	Cervantes Saavedra, Miguel de	1547-1616.	Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...	The life and exploits of the ingenious gentleman Don Quixote de la Mancha. Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...				2			1742	1742.	London		J. and R. Tonson [etc.]					ill. ;	['""The life of Michael de Cervantes Saavedra. Written by Don Gregorio Mayáns & Siscár ... Translated, from the Spanish manuscript, by Mr. Ozell"" (vi p., 1  ., 90 p., with frontispiece and special t.-p. dated 1738) inserted in v. 1 following p. xxxii."']									['']														University of Pennsylvania		
260686	02996cam a2200553 a 4500	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.				2	The second edition, revised and corrected with a preface by Henry Fielding, Esq	Second edition.	1744	1744.	London	['Millar, Andrew,']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)']			true						['']	['Third-person']					Author (text)		Female		['Mixed genre']				University of Pennsylvania		
