id	title	author	date	other works	nouns	adjectives	places	persons	verbs	material objects	adverbs
260500	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	Orrery, Roger Boyle	1750		['adventure', 'court', 'history', 'king', 'paper', 'party', 'person', 'pleasure', 'price', 'quality', 'shilling']	['Royal', 'amorous', 'original']		['King Henry the Eighth']			
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720		['island', 'manner', 'memoir', 'person', 'sex']	['Italian', 'Secret', 'both', 'new', 'quality', 'several']	['Atalantis', 'Mediterranean']				
260663	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745		['accident', 'adventure', 'character', 'condition', 'court', 'entertainment', 'foundling', 'history', 'improvement', 'issue', 'person', 'sex', 'sister', 'son', 'travel', 'whole', 'youth']	['both', 'fortunate', 'genuine', 'late', 'many', 'most', 'polite', 'several', 'wonderful']	['Europe']	['Colonel M----rs', 'Duke of R--l--d', 'Madam du P---y']			
260664	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745		['accident', 'adventure', 'character', 'condition', 'court', 'entertainment', 'foundling', 'history', 'improvement', 'issue', 'person', 'preface', 'sex', 'sister', 'son', 'travel', 'whole', 'youth']	['both', 'fortunate', 'genuine', 'late', 'many', 'most', 'polite', 'several', 'wonderful']	['Europe']	['Colonel M----rs', 'Duke of R--l--d', 'Madam du P---y']			
260674	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	Holberg, Ludvig	1742		['journey', 'world']	['original', 'under-ground']		['Nicholas Klimius']			
260675	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742		['adventure', 'busy-body', 'faculty', 'fortune', 'history', 'man', 'obscurity', 'rashness', 'spy', 'story', 'variety', 'whole']	['diverting', 'enterprising', 'entertaining', 'equally', 'great', 'humorous', 'infinitely', 'inquisitive', 'instructive', 'lowest', 'most', 'several', 'splendid', 'successful', 'unhappy']		['', 'Mons. Bigand']			['nevertheless']
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742		['adventure', 'busy-body', 'faculty', 'fortune', 'history', 'man', 'obscurity', 'preface', 'rashness', 'spy', 'story', 'variety', 'whole']	['diverting', 'enterprising', 'entertaining', 'equally', 'great', 'humorous', 'infinitely', 'inquisitive', 'instructive', 'lowest', 'most', 'several', 'splendid', 'successful', 'unhappy']		['Mons. Bigand']			['containing']
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744		['account', 'adventure', 'city', 'edition', 'friend', 'lady', 'preface', 'search', 'travel']	['real', 'second']	['', 'London', 'Westminster']	['', 'David Simple', 'Henry Fielding, Esq']			
260688	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744		['account', 'adventure', 'city', 'edition', 'friend', 'lady', 'preface', 'search', 'travel']	['real', 'second']	['London', 'Westminster']	['David Simple', 'Henry Fielding, Esq.']			
260689	Alexis; or, the young adventurer. A novel.		1746		['adventurer', 'novel']	['young']		['Alexis']			
260690	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.		1743		['High-German', 'Memoir', 'court', 'death', 'home-truth', 'love', 'marriage', 'nobleman', 'princess', 'sister', 'state-intrigue']	['High-German', 'tragical', 'unfortunate']	['Z--------']	['Count K------k', 'Countess of K---------k', 'H-----']			
260691	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.	Kirkby, John	1746		['Baron', 'Baronet', 'County', 'Custos Rotulorum', 'Earl', 'Lord Lieutenant', 'Viscount Sonds', 'capacity', 'case', 'edition', 'extent', 'infancy', 'island', 'narrative', 'nobelman', 'occurrence', 'reader', 'society', 'state', 'understanding', 'year']	['desolate', 'entertaining', 'extraordinary', 'honourable', 'human', 'many', 'nineteen', 'right', 'solitary', 'surprizing', 'useful', 'young']	['Kent', 'Rockingham', 'Throwley']	['Automathes', 'Lewis']			['abounding']
260692	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.		1746		['adventure', 'amour', 'manuscript']	['French']		['Mademoiselle Tencin', 'Marquis de Noailles']			
260693	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.		1745		['character', 'edition', 'incident', 'life', 'reflection', 'variety']	['entertaining', 'great', 'moral', 'real', 'second']		['Leonora']			
260694	Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.	Gomez	1745		['Sequel', 'effect', 'gardener', 'novel', 'prince', 'simpathy', 'vestal']	['Fair', 'French', 'Select', 'Tartarian']		['', 'Madame de Gomez']			
260695	The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]		1742		['coquet', 'novel', 'resentment', 'revenge', 'silph', 'six-pence', 'tale']	['Numidian', 'a-la-mode', 'heroi-comic', 'satyrical']					
260696	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.	Kirkby, John	1745		['capacity', 'extent', 'infancy', 'island', 'narrative', 'nobelman', 'occurrence', 'reader', 'society', 'state', 'understanding', 'year']	['desolate', 'entertaining', 'extraordinary', 'human', 'many', 'nineteen', 'solitary', 'surprizing', 'useful', 'young']		['', 'Automathes']			
