id	title	author	date	a	b	2	3	5	6	7
260496	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	Weston, Anna Maria	1814	['Author (text)']		['Anna Maria Weston']	['Title-page']	['Female']	['Female']	
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Author (text)', 'Author (paratext)']	['Proper name']	['By Laetitia-Matilda Hawkins']	['Title page']			
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['Author (paratext)']		["Inscribed by her Royal Highness's most obedient, and most humble servant, Sarah Harriett Burney"]	['Dedication']	['Female']		
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	Godwin, William	1816	['Author (text)']		['By William Godwin']	['Title page']	['Male']	['Male']	
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810	['Author (text)']	['Proper name']	['By Henry Fielding, Esq.']	['Title page']	['Male']		
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Author (paratext)']	['Proper name']	['To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.']	['Title page']	['Male']	['Unknown']	
260666	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.	Edgeworth, Maria	1810	['Author (text)']		["By Miss Edgeworth, author of The parent's assistant,  Tales of fashionable life, Letters for literary ladies, Moral tales, &c."]	['Title page']	['Female']		
260667		Edgeworth, Maria	1810	['Author (text)']		["By Miss Edgeworth, author of The parent's assistant,  Tales of fashionable life, Letters for literary ladies, Moral tales, &c."]	['Title page']	['Female']		
260668		Bunyan, John	1810	['Author (paratext)']		["Mr. Bunyan's advertisement to the reader"]	['Advertisement']	['Male']	['Male']	
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Author (paratext)']		['The following pages are inscribed, by their very grateful and affectionate -- Anna Maria.']	['Dedication']	['Female']	['Female']	
260671	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.	Porter, Anna Maria	1817	['Author (paratext)']		['The following pages are inscribed, by their very grateful and affectionate -- Anna Maria.']	['Dedication']	['Female']	['Female']	
260673	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Burney, Sarah Harriet	1816	['Author (text)']	['Reference to other works']	['Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c.']	['Title Page']	['Indeterminate']	['Female"']	
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Author (paratext)']		['The author.']	['Preface']	['Indeterminate']		
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Author (paratext)', 'Author (text)']		['By S.W. Ryley']	['Title page', 'Dedication']	['Indeterminate']	['Male']	
260723	Melmoth House: a novel. In three volumes, by Mrs. J. Jenner. Vol. I.	Jenner, J.	1816	['Author (text)']		['In three volumes, by Mrs. J. Jenner']	['Title page']	['Female']		
260726	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Translator (patatext)']	['Generic/Descriptive']	["Translator's Preface"]	['Preface']	['Indeterminate']	['Male']	
260727	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	Klopstock, Friedrich Gottlieb	1811	['Author (text)']		['First sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke.']	['Title page']	['Female']		
260729	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	Smollett, Tobias George	1817	['Author (text)']	['Generic/Descriptive']	['Your very affectionate friend and servant, THE AUTHOR.']	['Dedication']	['Male']	['Male']	
260732	The Brownie of Bodsbeck; and other tales. By James Hogg, author of ""The Queen's Wake,"" &c. &c. In Two Volumes. Vol. I.	Hogg, James	1818	['Author (paratext)']	['Initials']	['J.H.']	['Dedication']	['Indeterminate']	['Male']	
260734	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	Williams, John	1811	['Author (paratext)']	['Generic/Descriptive']	["Your excellency's most humble, obedient, and dutiful servant, John Williams."]	['Dedication']	['Male']		
260735	Self-control: a novel. Volume I.	Brunton, Mary	1811	['Author (paratext)']	['Generic/Descriptive']	['Madam, Your obedient Servant, The Author']	['Dedication']	['Indeterminate']	['Female']	
260736	The alderman and the peer; or, the ancient castle & modern villa. In three volumes. By Miss Byron, author of The Englishwoman, Hours of affluence and Days of indigence, &c. Vol. I.	Byron, Medora Gordon	1810	['Author (text)']		['By Miss Byron, author of The Englishwoman, Hours of affluence and Days of indigence, &c.']	['Title page']	['Female']	['Female']	
260740	Discipline: a novel.  By the author of ""Self-control."" Volume I.	Brunton, Mary	1814	['Author (text)']		['By the author of ""Self-control""']	['Title page']	['Indeterminate']	['Female"']	
260743	A world without souls, and the velvet cushion by J.W. Cunningham, A.M. Vicar of Harrow	Cunningham, J. W	1815	['Author (paratext)']	['Generic/Descriptive']	['""t has seemed right to the Author to meet the increased demand for this little work, by the publication of another edition...""']	['Preface (a world without souls)']	['Male"']		
260745	An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6.  Giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions: interspersed with very entertaining anecdotes, and a variety of other useful and pleasing information, remarkably calculated to delight and instruct the readers. To which is added a complete dictionary of the Indian tongue.  By William Fisher, Esq.		1813	['Author (text)']		['By William Fisher, Esq.']	['Title page']	['Male']	['Unknown']	
260747	Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c. In four volumes.  Vol. I.	West	1814	['Author (text)']		['By the author of ""The Loyalists,"" &c.']	['Title page']	['Indeterminate']	['Female"']	
260755	The coquette; or, the history of Eliza Wharton. A novel: founded on fact. By a lady of Massachusetts. Third edition. Published according to Act of Congress.	Foster, Hannah Webster	1811	['Author (text)']	['Generic/Descriptive']	['By a lady of Massachusetts']	['Title page']	['Female']		
260757	Elfrida, heiress of Belgrove. A novel, in four volumes.  By Emma Parker. Vol. I.	Parker, Emma	1811	['Author (text)']	['Proper name']	['By Emma Parker.']	['Title page']	['Female']		
260758		Rose, Edward H	1811	['Author (text)']		['By Edward Rose, seaman']	['Title page']	['Male']		
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Author (text)']		['First sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke.']	['Title page']	['Female']		
260760	Think's-I-to-myself. A serio-ludicro, tragico-comico tale, written by Think's-I-to-myself who?  In two volumes.  Vol. I.	Nares, Edward	1811	['Author (text)']		["Written by Think's-I-to-myself who?"]	['Title page']	['Indeterminate']	['Male']	
260761	Think's-I-to-myself. A serio-ludicro, tragico-comico tale, written by Think's-I-to-myself who?  In two volumes.  Vol. I.	Nares, Edward	1811	['Author (text)']		["Written by Think's-I-to-myself who?"]	['Title page']	['Indeterminate']	['Male']	
260762	The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c. Vol. I.	West	1810	['Author (text)']		['Works written by Mrs. West.']	['Advertisement']	['Female']		
260763	A tale of a tub, written for the universal improvement of mankind. To which is added, an account of a battle between the ancient and modern books in st. James's Library. With the author's apology, and explanatory notes, by W. Wotton, B.D. and others.	Swift, Jonathan	1811	['Author (text)']	['Generic/Descriptive']	['the author tells us in his preface to the first treatise']	['To the reader']	['Male']	['Unknown']	
260774	The old manor house, a novel, by Charlotte Smith.  a new edition, in two volumes. Vol. I.	Smith, Charlotte Turner	1810	['Author (text)']		['By Charlotte Smith']	['Title page']	['Female']	['Female']	
260775	Forest of Montalbano: a novel.  In four volumes.  By the author of ""Santo Sebastiano,"" and ""The Romance of the Pyrenees.""   Vol. I.	Cuthbertson, Catherine	1810	['Author (text)']		['By the author of ""Santo Sebastiano,"" and ""The Romance of the Pyrenees.""']	['Title page']	['Indeterminate']	['Female"']	
260776	Anne of Brittanny: an historical romance.  In three volumes. Vol. I.		1810	['Author (text)']	['Generic/Descriptive']	['THE AUTHOR']	['Preface']	['Indeterminate']	['Unknown']	
260777	Julia de Vienne. A novel. In four volumes. Imitated from the French, by a lady. Vol. I.	A Lady	1811	['Author (text)']	['Generic/Descriptive']	['By a lady']	['Title page']	['Female']		
260783	Mansfield park: a novel.  in three volumes.  By the author of ""Pride and prejudice."" Vol. I. Second edition.	Austen, Jane	1816	['Author (text)']		['By the author of ""Pride and prejudice""']	['Title page']	['Indeterminate']	['Female"']	
260786	Frankenstein; or, The modern Prometheus. In three volumes. Vol. I.	Shelley, Mary Wollstonecraft	1818	['Author (text)']	['Author (paratext)']	['These volumes are respectfully inscribed by the author']	['Dedication']	['Indeterminate']	['Female']	
