id	title	author	date	a	b	v	x
260668		Bunyan, John	1810	['Ink']			
260729	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	Smollett, Tobias George	1817	['Ink']	['Numbers']	['v.1']	['The following numbers appear at the bottom of the first page of the dedication: 371481.']
260773	Rasselas, a tale. By Samuel Johnson, LL.D.	Johnson, Samuel	1816	['Pencil']	['Words']		['It is written, ""Passions subdued?"" on page 78, as well as ""of Fielding.""', 'On page 114, it is written, ""Marriage of 116""', 'On page 125, it is scribbled ""spirits"" at the top right hand corner.', 'On page 128, it is scribbled ""pyramids"" on the top left hand corner.', 'On page 135, it is scribbled ""guilt of virtue"" and ""conscience?"" on the top right hand corner."']
260807	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['Ink']	['Words']	['v.1', 'v.2', 'v.3']	
260812	A narrative of the travels of John Vandeluer, on the Western continent. Containing an account of the conversion of an Indian chief and his family to Christianity. Being a letter written by him to his uncle in Philadelphia, in the year 1796.	Vandelure, John	1817	['Pencil']	['Words']		['The marginalia seems to have been written by a librarian.']
260815	Armata: a fragment. Sixth edition.	Erskine, Thomas Erskine	1818	['Ink']	['Words']		['Words read, ""To George Colman Esq. with the authors fond remembrance and respects--"']
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Pencil']	['Words']	['v.2']	['Bottom of page 30']
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Pencil']	['Words']	['v.2']	['Bottom of page 30']
260852	Six Weeks at Long's. By a late resident. Second edition. In three volumes. Vol. I.	Barrett, Eaton Stannard	1817	['Ink']	['Numbers']	['v.3']	['The numbers, ""297139"" appear at the bottom of the first page of Chapter XV in the tihrd volume of the series."']
260959	The castles of Athlin and Dunbayne. A highland story. By Anne Radcliffe.	Radcliffe, Ann Ward	1811	['Pencil']	['Words']		['A few accompany the pencil lines used to draw attention to specific parts of the text.']
260973	Cava of Toledo; Or, The Gothic Princess. A Romance. In Five Volumes. By Augusta Amelia Stuart, author of Ludovico's Tale; The English Brothers; Exile of Portugal, &c. &c. Vol. I.	Stuart, Augusta Amelia	1812	['Ink']	['Editorial markings']	['v.2']	['Some phrases are underlined.']
261063	The Thatcher's Wife; or an account of Mary Camps.	Richmond, Legh	1819	['Pencil']	['Editorial markings']	['v.1']	['Some words are crossed out in some of the stories in volume 1.']
261089	The Absentee: a Tale. By Miss Edgeworth, author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, Tales of Fashionable Life, &c. In two volumes. Vol. I	Edgeworth, Maria	1812	['Ink']	['Name']	['v.1']	['""A. Miller 1820"']
276043	A sequel to the Antidote to the miseries of human life, containing a further account of Mrs. Placid and Her Daughter Rachel.	Corp, Harriet	1814	['Yes']	['Ink']		
276103	Bannockburn; a novel: being a sequel to the Scottish chiefs by (Miss Jane Porter). In two volumes. Vol.I.		1822	['Yes']	['Ink']	['v.2']	
276155	Tell-tale sophas, an eclectic fable, in three volumes. Founded on anecdotes, foreign and domestic. By John Battersby. Volume the second.	Battersby, John	1814	['Pencil']	['Words']		['Illegible marginal notes are written on various pages.']
374841	Never despair : a tale of the emigrants. Founded on fact.	Bokum, Hermann	1837	['Pencil']	['Words']		['Recto, page opposite front cover; three lines, illegible.']
375707	Sheppard Lee. Written by himself. [Epigraph.] In two volumes. Vol. I.	Bird, Robert Montgomery	1836	['Ink']	['Words']	['v.1']	['Page iv. Illegible.']
375855	Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant. By H. H. Brackenridge.	Brackenridge, H. H	1825	['Pencil']	['Words']		['Full title, between epigraph and publication information; faded into illegibility.']
375929	The reign of reform, or, Yankee Doodle court. By a lady.	Botsford	1830	['Pencil']	['Words']		['""Mrs. Botsford - Authoress of --- viola""; title page"']
376226	Jane Talbot, a novel. By the author of Arthur Mervyn, Wieland, Ormond, Edgar Huntley, and Clara Howard.	Brown, Charles Brockden	1801	['Ink']	['Words']		['On title page', 'Rewriting of title [i.e. ""JJane [illegible] Talbot A A novel]', 'Crossed out ""by the author of"" and wrote ""Mr. Brown"']
