id	author name	title catalog	vols	pub date	pub location
260496	Weston, Anna Maria	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.	3	1814	London
260498	Hawkins, Laetitia Matilda	Rosanne, or, A father\\\'s labour lost / by Laetitia-Matilda Hawkins.	3	1814	London
260500	Orrery, Roger Boyle	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	1	1750	London
260503	Manley	Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.	4	1720	London
260507	Leadbeater, Mary	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.	1	1814	Dublin
260508	Burney, Sarah Harriet	Tales of fancy / by S. H. Burney. ...	3	1816	London
260518	Lambert de Saumery, Pierre	The devil turn\\\'d hermit : or the adventures of Astaroth banish\\\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.	1	1742	London
260658	Godwin, William	St. Leon : a tale of the sixteenth century / BY William Godwin.	4	1816	London
260659	Malory, Thomas	The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.	2	1816	London
260660	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.	1	1810	London
260661	Bunyan, John	The pilgrim\\\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.	1	1811	Philadelphia
260662	Weber, Henry William	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.	3	1812	Edinburgh
260663	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	1	1745	Dublin
260664	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	1	1745	Dublin
260665	Austen, Jane	Northanger Abbey: and Persuasion. By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."	4	1818	London
260666	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.	1	1810	Georgetown
260667	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.	1	1810	Georgetown
260668	Bunyan, John	A true relation of the holy war, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, The losing and taking again of the town of Mansoul. By John Bunyan.	1	1810	London
260669	Porter, Anna Maria	The knight of St. John : a romance / by Miss Anna Maria Porter ....	3	1817	London
260670	Porter, Anna Maria	The knight of St. John, a romance, by Miss Anna Maria Porter ...	3	1817	London
260671	Porter, Anna Maria	The Knight of St. John : a romance / by Anna Maria Porter.	2	1817	Philadelphia
260672	Johnson, R	The blossoms of morality : intended for the amusement and instruction of young ladies and gentlemen / by the editor of The looking-glass for the mind.	1	1810	Philadelphia
260673	Burney, Sarah Harriet	Clarentine : a novel / by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	3	1816	London
260674	Holberg, Ludvig	A journey to the world under-ground. By Nicholas Klimius [pseud.]  Translated from the original.	1	1742	London
260675	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	2	1742	London
260676	Mouhy, Charles de Fieux	The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	2	1742	London
260677		The Irish emigrant. An historical tale founded on fact, by an Hibernian [pseud.]	2	1817	Winchester, Va.,
260678	Cervantes Saavedra, Miguel de	The life and exploits of the ingenious gentleman Don Quixote de la Mancha. Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...	2	1742	London
260679	Opie, Amelia Alderson	The father and daughter : a tale / by Amelia Opie.	1	1812	Georgetown
260680	Ryley, S. W	The itinerant, or Memoirs of an actor / by S.W. Ryley : in two volumes.	2	1810	New York
260681	Ryley, S. W	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	9	1817	London
260682	Ryley, S. W	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	9	1817	London
260683	Ryley, S. W	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	3	1816	London
260684	Ryley, S. W	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	3	1816	London
260685	More, Hannah	Coelebs in search of a wife : comprehending observations on domestic habits and manners, religion and morals.	2	1813	London
260686	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	2	1744	London
260687	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	2	1744	London
260688	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	2	1744	London
260689		Alexis; or, The young adventurer. A novel ...	1	1746	London
260690		Memoirs of the love and state-intrigues of the court of H------; from the marriage of the Princes of Z-----, to the tragical death of Count K-----k: a home-truth. Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	1	1743	London
260691	Kirkby, John	The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	1	1746	Dublin
260692		The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Tr. from a French manuscript ...	2	1746	London
260693		Leonora, or Characters drawn from real life : containing a great variety of incidents interspers\\\'d with reflections moral and entertaining : in two volumes.	2	1745	London
260694	Gomez	Select novels / translated from the French of Madame de Gomez ... ; never before published.	1	1745	London
260695		The Silph\\\'s resentment, or The Numidian coquet : a satyrical novel : to which is added, Revenge a-la-mode, an heroi-comic tale.	1	1742	London
260696	Kirkby, John	The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state, separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	1	1745	London
260697	Arbuthnot, Archibald	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers : from his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig / by the Rev. Archibald Arbuthnot ...	1	1746	London
260698		The Lady\\\'s drawing room : being a faithfull picture of the great world : in which the various humours of both sexes are display\\\'d, drawn from the life and interspers\\\'d with entertaining and affecting novels.	1	1744	London
260699	Fielding, Sarah	Familiar letters between the characters in David Simple, and some others : to which is added, A vision / by the author of David Simple ; in two volumes.	2	1747	London
260700	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	7	1748	London
260701	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	7	1748	London
260702	Haywood, Eliza Fowler	Secret histories, novels, and poems : in four volumes / written by Mrs. Eliza Haywood.	4	1746	London
260703	Haywood, Eliza Fowler	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	1	1748	London
260704	Haywood, Eliza Fowler	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	1	1748	London
260705		The Unfortunate concubines : the history of Fair Rosamond, mistress to Henry II, and Jane Shore, concubine to Edward IV, Kings of England : shewing how they came to be so : with their lives, remarkable actions, and unhappy ends / extracted from eminent records, and the whole illustrated with cuts suitable to each subject.	1	1748	London
260706	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	6	1749	London
260707	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes. By Henry Fielding, Esq.	6	1749	London
260708	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	6	1749	London
260709	Fielding, Sarah	The governess : or, Little female academy. Being the history of Mrs. Teachum, and her nine girls : with their nine days amusement : calculated for the entertainment and instruction of young ladies in their education / by the author of David Simple.	1	1749	London
260710		Dalinda, or The double marriage : being the genuine history of a very recent and interesting adventure : addressed to all the young and gay of both sexes.	1	1749	London
260711		The History of the human heart, or The adventures of a young gentleman.	1	1749	London
260712	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.	2	1744	London
260713	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.	2	1744	London
260715	Fielding, Henry	Miscellanies / by Henry Fielding, Esq. : in three volumes.	3	1743	London
260716	Hamilton, Elizabeth	Translation of the letters of a Hindoo rajah; written previous to, and during the period of his residence in England. To which is prefixed, a preliminary dissertation on the history, religion, and manners, of the Hindoos. By Elizabeth Hamilton.	2	1811	London
260717		The History of Charlotte Summers, the fortunate parish girl ... : in two volumes.	2	1749	London
260719	PreÃÅvost, abbeÃÅ	The history of a fair Greek : who was taken out of a seraglio at Constantinople, and brought to Paris by a late embassador at the Ottoman port : interspersed with the surprising adventures of several other slaves / by Abbot Provost ...	2	1741	London
260720	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams : written in imitation of the manner of Cervantes, author of Don Quixote / by Henry Fielding, Esquire ... : in two volumes.	2	1743	London
260721	Fielding, Henry	The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams : written in the manner of Cervantes, author of Don Quixote : in two volumes.	2	1742	London
260722		The Life and adventures of Mrs. Christian Davies, commonly called Mother Ross : who, in several campaigns under King William and the late Duke of Marlborough, in the quality of a foot soldier and dragoon, gave many signal proofs of an unparallelled courage and personal bravery : taken from her own mouth when a pensioner of Chelsea Hospital, and known to be true by many who were engaged in those great scenes of action.	1	1740	London
260723	Jenner, J.	Melmoth House : a novel : in three volumes / by Mrs. J. Jenner.	3	1816	London
260724	Campbell, John	The polite correspondence, or, Rational amusement : being a series of letters, philosophical, poetical, historical, critical, amorous, moral, and satyrical : wherein are introduc\\\'d a great variety of instructive and delightful incidents, both in prose and verse ...	1	1740	London
260725	Dow, Lorenzo	History of Cosmopolite, or The four volumes of Lorenzo\\\'s journal, concentrated in one : containing his experience and travels, from childhood to 1814, being upwards of thirty-six years.	1	1814	New York
