id	title	author	date	a	d	1	b	2	c	x	v
260500	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	Orrery, Roger Boyle	1750	['Love, almighty love, made Solomon commit idolatry, David contrive a murder, and all the world play the fool at one time or other.']	['Title page']				['Sheffiled, D. of Buckingham']		
260689	Alexis; or, the young adventurer. A novel.		1746	['Qui capit, ille facit.']	['Title page']						
260690	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.		1743	["Time's daughter will appear, although she blush -- To shew her nakedness."]	['Title page']				['---------']	['No author written on epigraph']	
260693	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.		1745	["These sheets, in moving scenes, display -- The little God's fantastic sway, -- How the fond nymph with rapture burns, -- How love, how reason rules by turns ; -- how wit can triumph, tho' distress'd, -- And be by greatly daring blest."]	['Title page']				['Anon.']		['v.1', 'v.2']
260695	The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]		1742	["Woman to man first at the blessing giv'n, -- Whilst innocence and love were in their prime ; -- Happy a while in paradise they lay, -- But woman quickly long'd to go astray : -- Some foolish new adventure needs must prove, -- And the first devil she saw, she chang'd her love. -- To his temptations lewdly she inclin'd -- Her soul, and for an apple damn'd mankind"]	['Title page']				['Otway']		
260702	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.	Haywood, Eliza Fowler	1746	["Woman is soft, and of a tender heart, -- Apt to receive, and to retain love's dart: -- Man has a breast robust, and more secure; -- It wounds him not so deep, nor bits so sure."]	['Title page (half)']				['Congreve.']		['v.4']
260706	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	Fielding, Henry	1749	['Mores hominum multorom vidit.']			['Ars Poetica']		['Horace']	['Translation from Latin to English: ""He saw the customs of many men"']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Mores hominum multorum vidit']	['Title page']						['v.1']
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Mores hominum multorum vidit']	['Title page']						['v.1']
260710	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.		1749	["'Tis our own wisdom moulds our state : -- our faults, or virtues make our fate."]	['Title page']				['Cowley']		
260813	The history of Tom Jones, a foundling. Vol. IV. By Henry Fielding, Esq.	Fielding, Henry	1749	['Mores hominum multorum vidit']	['Title page']						['v.1']
260865	The adventures of Roderick Random. In two volumes. Vol. I. The second edition.	Smollett, Tobias George	1748	['Et genus & virtus, nisi cum re, vilior alga est']	['Title page']				['Horace']		['v.1', 'v.2']
260867	Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart.	Annesley, James	1743	["-Fould deeds will rife, -- Tho' all the earth o'erwhelm 'em, to mens eyes. -- Spoken by Hamlet of his uncle."]	['Title page']		['Hamlet']		['Shakespeare']		
260921	The adventures of Roderick Random. Vol. I.	Smollett, Tobias George	1748	['Et genus & virtus, nisi cum re, vilior alga est']	['Title page']				['Horace']		['v.1', 'v.2']
260923	The true anti-Pamela: or, memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. Interspers'd with many curious and entertaining love-letters which passed between them. The second edition, carefully revised. [ Price three shillings.]		1742	["Beware the dangerous beauty of the wanton ; -- Shun their environments ; ruin, like a vulture, -- Waits on their conquests : falshood too's their business : -- They put their false beauty off to all the world : -- Use false endearments to the fools that love them : -- And when they marry to their filly Husbands -- They bring false virtue, broken fame and fortune."]	['Title page']				['Otway']		
261003	Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart.		1743	["-Fould deeds will rife, -- Tho' all the earth o'erwhelm 'em, to mens eyes. -- Spoken by Hamlet of his uncle."]	['Title page']		['Hamlet']		['Shakespeare']		
261059	The works of Jonathan Swift, D. D., D. S. P. D. in eight volumes. Containing I. His miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. Papers relating to Ireland, and the drapier's letters. V. The conduct of the allies, and The examiners. VI. The publick spirit of the Whigs, &c. with polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. The sixth edition, revised and corrected.	Swift, Jonathan	1744	['Retroq; -- vulgus abhorret ab his.']	['Title page']						['v.3']
261068	Mogul tales, or, the dreams of men awake: being stories told to divert the grief of the Sultana's of Guzarat, for the supposed death of the sultan. Written in French by the celebrated Mr. Guelletee, author of The Chinese tales, &c. Now first translated into English. In two volumes, adorned with proper cuts, neatly engraven on copper plates. The second edition. Vol. I.	Gueullette, Thomas-Simon	1743	['In pleasing tales, the artful sage  can give -- Rules, how in happiness and ease to live : -- Can shew what good can most attract the mind, -- And how our woes we from our vices find ; Delighting, yet instructing thus our youth, -- Who catch at fable - how to gather truth.']	['Title page']						['v.1', 'v.2']
261087	The memoirs of the Baron du Tan. To which is added the Calabrian: or, the history of Charles Brachy, and the hermit. Translated from the French of Madame de Gomez, author of La Belle Assemblee, -- By a gentleman.	Gomez	1744	["'Tis virtue only makes our bliss below ; -- And all our knowledge is, ourselves to know."]	['Title page']				['Pope']		
276073	Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part.	Swift, Jonathan	1720	['-Juvatque novos decerpere flores, -- Infignemque meo capiti petere inde coronam, -- Unde prius nulli velarunt tempora muse.']	['Back of title page.']		['Lucret']			['This epigraph is located on the verso of the title page specifically for ""Tale of a tub."']	
276081	Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.		1724	['Semel insanivimus omnes.']	['Title page']						
276082	Letters from Altamont in the capital, to his friends in the country.	Jenner, Charles	1767	["Il n'y a qu'un point indivisible, qui foit le veritable lieu de voir les tableaux : la perspective l'affigne dans l'art de la peinture ; mais dans la verite et dans la morale qui l'affignera?"]	['Title page']				['Mons. Pascal']		
276083			1778	['Qui studiis annos Septem dedit, infenuitque -- libris et curis, statua taciturnius exit -- plerumque, et risu populum quatit']	['Title page']				['Horace']		['v.1']
276107	The works of Petronius Arbiter, in prose and verse. Translated from the original Latin. By Mr. Addison. To which are preix'd the Life of Petronius, done from the Latin.: And a character of his writings by Monsieur St. Evremont.	Petronius Arbiter	1736	["When gay Petronius, to correct the age, -- Gave way of old to his satirick rage, -- With just resentment fir'd, he meant to shew -- How far licentiousness at last might go : -- Blushing we read the loose, the flagrant tale, -- And loath the vice thus shewn without a veil."]	['Title page']						
276113	The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I.	Graves, Richard	1783	['Humour without a moral is buffoonry.']			['Poems on several occasions. With some select essays in prose.']	['Hughes.']	['John Hughes']		['v.3']
276116	The nominal husband: or, the distress'd innocence. A true secret history, taken from an old Saxon manuscript, found among the papers of a late noble antiquarian, modernised for the service of the youth of both sexes.		1750	["As virtue never will be mov'd, -- tho' lewdness court it in the shape of heaven, -- so vice, tho' to a radiant angel join'd, -- will feat itself in a celestial bed, -- and prey on garbage."]	['Title page']				['Shakespeare.']		
276122	The life and adventures of Joe Thompson. A narrative founded on fact. Written by himself. In two volumes.	Kimber, Edward	1750	["To wake the soul, by tender strokes of art ; -- To raise the genius, and to mend the heart ; -- To make mankind in conscious virtue bold, -- Live o'er each scene, and be what they behold : -- For this ------------- ."]	['Title page']				['Pope']		['v.1', 'v.2']
276124	The history of the life and adventures of Mr. Duncan Campbell, a gentleman, who, tho' deaf and dumb, writes down any stranger's name at first sight; with their future contingencies of fortune. Now living in Exeter Court over-against the Savoy in the Strand.	Bond, William	1720	['Gentem quidem nullam video neque tam humanam atque doctam; neque tam immanem tamque barbaram, que non significari futura & a quibusdam intelligi praedicique posse censeat.']	['Title page']				['Cicero de Divinatione, lib. x']		
276126	The history of the life and adventures of Mr. Duncan Campbell, a gentleman, who tho' deaf and dumb, writes down any stranger's name at first sight: with their future contingencies of fortune. Now living in Exeter Court over-against the Savoy in the Strand.	Bond, William	1720	['Gentem quidem nullam video neque tam humanam atque doctam; neque tam immanem tamque barbaram, que non significari futura & a quibusdam intelligi praedicique posse censeat.']	['Title page']				['Cicero de Divinatione, lib. x']		
276127	The history of Sir William Harrington. Written some years since, and revised and corrected by the late Mr Richardson, author of Sir Charles grandison, Clarissa, &c. In four volumes. Vol. I. The second edition.		1772	["Of folly studious, ev'n of vices vain,---Ah! vices gilded by the rich and gay."]		['Elegies']	['Elegies']	['Shenstone']	['William Shenstone']		
276128	The history of Eliza Warwick. In two volumes. Vol. I.		1778	['--Vaulting ambition, that o\'erleaps itself,---And falls on t\'other side.""--']			['Macbeth']		['Shakespeare, William"']		
340844	The advantages of deliberation; or, the folly of indiscretion. In two volumes. Vol. I.		1772	['The life of a libertine cannot be known without abhorrence, nor shared without danger of ruin.']		['The Adventurer.']					
340846	The adventures of a bank-note. In two volumes. Vol. I.	Bridges, Thomas	1770	["When I've held up a proper number---Of fools and knaves, and such-like lumber,---To public view, and public scorn,---Contented I'll to dust return."]						['Unattributed']	
340850	The adventures of a hackney coach. The fourth edition corrected.		1781	['--Tremble thou wretch,---That hast within thee undivulged crimes---Unwhipt of justice!-------And thou simular of virtue---That are incestuous!-------Close pent-up guilts---Rive your concealing continents!']			['King Lear']	['Shakespeare.']	['Shakespeare, William']		
340854	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	Scott, Helenus	1782	["Suave mari magno turbantibus æquora ventis,---E terra magnum alterius spectare laborem:---Non quia vexari quenquam 'st jucunda voluptas,---Sed, quibus ipse malis careas, quia cernere suave 'st.---Suave etiam belli certamina magna tueri---Per campos instructa, tua sine parte pericli."]		['Book II.']	['De Rerum Natura']	['Lucretius']	['Lucretius']	['This quotation is on the page facing the full title page (on verso of half title page).']	
340856	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	Scott, Helenus	1782	["Suave mari magno turbantibus æquora ventis,---E terra magnum alterius spectare laborem:---Non quia vexari quenquam 'st jucunda voluptas,---Sed, quibus ipse malis careas, quia cernere suave 'st.---Suave etiam belli certamina magna tueri---Per campos instructa, tua sine parte pericli."]		['Lib. II.']		['Lucretius']	['Lucretius']	['This quotation is on the page facing the full title page (on verso of half title page).']	
340910	The adventures of an East-India rupee. Wherein are interspersed, various anecdotes Asiatic, and European.	Scott, Helenus	1783	['-----For who shall go about---To cozen fortune, and be honourable---Without the stamp of merit.--- -----Let none presume---To wear an undeserved dignity.']		['Merchant of Venice.']	['The Merchant of Venice']		['William Shakespeare']		
340911	The adventures of a cork-screw; in which, under the pleasing method of a romance, the vices, follies and manner of the present age are exhibited and satirically delineated. Interspersed with striking anecdotes, characters and actions of persons in real-life; all drawn to promote virtue, expose vice, and laugh folly out of countenance.		1775	['Manners with fortunes, humours turn with climes,---tenets with books, and principles with times.']			['Moral Essays, Epistle I']		['Alexander Pope']		
341318	The adventures of Roderick Random. In two volumes. Vol. I. The eighth edition.	Smollett, Tobias George	1770	['Et genus & virtus, nisi cum re, vilior alga est.']			['Sermonum Liber II']	['Hor.']	['Quintus Horatius Flaccus']		
341334	The American wanderer, through various parts of Europe, in a series of letters to a lady, (interspersed with a variety of interesting anecdotes) by a Virginian.		1783	["Round the wide world in banishment we roam,---Forc'd from our pleasing fields and native home:---While stretch'd at ease, you sing your happy loves;---And Amaryllis fills the shady groves."]			['The first pastoral or, Tityrus and Meliboeus.']	['Dryden.']	['Dryden, John']		
341342	The history of the adventures of Arthur O'Bradley, &c. A novel. By John Potter. The second edition. Vol. I.	Potter, John	1771	['Sit mihi fas audita loqui']			['Aeneid']	['Virgil']	['Virgil']		
341344	The Birmingham counterfeit; or, invisible spectator. A sentimental romance. In two volumes. Vol. 1.		1772	["---Let us beat this ample Field, --- Try what the Open, what the Covert yield: --- Eye Nature's Walks, shoot Folly as it flies, --- And catch the Manners living as they rise.  Pope"]			['Essay on Man']	['Pope']	['Alexander Pope']		
341345	Blandford races: a novel. In two volumes. Vol. I.		1782	['The ways of heaven are dark and intricate.']			['Cato']	['Addison']	['Joseph Addison']		['v.1', 'v.2']
341351	Charles and Charlotte. In two volumes. Vol. I.	Pratt	1777	['Heaven first taught letters for some wretches aid:']		['Eloisa']	['Eloisa to Abelard']	['Pope']	['Alexander Pope']		
341364	Chrysal: or, the adventures of a guinea. Wherein are exhibited views of several striking scenes: with curious and interesting anecdotes of the most noted persons in every rank of life, whose hands it passed through, in America, England, Holland, Germany and Portugal. By an adept. Vol. I.	Johnstone, Charles	1775	['Qui capit, ille facit.']						['Unattributed.  Latin: ""He takes it who makes it"']	
341366	A collection of novels, selected and revised by Mrs. Griffith. Vol. I.		1777	['Sparsa coegi.']						['Translates to ""scatter to bring together""."']	
341367	Colonel Ormsby; or the genuine history of an Irish nobleman, in the French service. Vol. I.		1781	["--Souls are for social bliss design'd:---Give me a blessing fit to match my mind,---A kindred soul, to double, and to share my joys."]			['Horae Lyricae, Book II, ""The Happy Man""']	['Dr. Watts.']	['Isaac Watts"']		
341368	Columella; or, the distressed anchoret. A colloquial tale. By the editor of the Spiritual Quixote. Vol. I.	Graves, Richard	1779	['---- -- ----- Hic onus horret;---Hic subit & perfert. Aut virtus nomen inane est,---Aut decus & pretium recte petit experiens vir.']			['Epistles']	['Hor.']	['Horace']		
341371	The life and adventures of common sense: an historical allegory. Vol. I. The second edition.	Lawrence, Herbert	1771	['Veluti in speculum.']						['Translates as ""as in a mirror""."']	
341373	The contemplative man, or the history of Christopher Crab, Esq; of North Wales. Vol. I.	Lawrence, Herbert	1771	['Nonnunquam ex acido dulce germinat.']							
341377	The correspondents, an original novel; in a series of letters. The third edition.		1775	['-----Shake not thine auburn locks at me;---Thou canst not say I did it.-----']						['A likely allusion to ""Thou canst not say I did it: never shake --- Thy gory locks at me"" in Macbeth Act 3 Scene IV.  The epigraph as it appears cannot be found elsewhere and is not attributed."']	
341378	Correspondents, an original novel; in a series of letters. A new edition.		1776	['--Shake not thine auburn locks at me;---Thou canst not say I did it.--']			['Macbeth']		['Shakespeare, William']	['Variation on line from Macbeth: ""Thou canst not say I did it: never shake---Thy gory locks at me"" (Act III scene iv, l. 49-50)."']	
341379	The Count de Rethel: an historical novel. Taken from the French. Dedicated (by permission) to the Lady Viscountess Hereford. In three volumes. Vol. I.		1779	["When Philip the Victorious liv'd--I fought---Abreast with Montmorenci and Melun,---Des Barres, Du Metz, and the far-famous Couci;---Names which were then the priase and dread of war!"]		['Zara.']	['The Tragedy of Zara']		['Voltaire']		['v.1', 'v.2', 'v.3']
341380	The curate of Coventry: a tale. By John Potter, author of The history and adventures of Arthur O'Bradley. [Epigraph] In two volumes. Vol. I.	Potter, John	1771	['Regum aequabat opes animo. ____']				['Virgil.']	['Virgil']		
341381	The genuine diestresses of Damon and Celia. In a series of letters between the late General Craufurd, Sir John Hussey Delaval, Bart. Sir Francis Blake Delaval, K. B. and two unfortunate lovers. By William Renwick. Vol. I.	Renwick, William	1771	['Notitiam primosque gradus vicinia fecit;---Tempore crevit amor.']			['Pyramus and Thisbe']	['Ovid']	['Ovid']		
341386	Dangerous connections: or, letters collected in a society, and published for the instruction of other societies. By M. C**** de L***. Vol. I.	Laclos, Choderlos de	1784	['I have observed the manners of the times, and have wrote those letters.']		['Pref. to the New Eloise.']	['Julie, or the New Heloise']	['J. J. Rousseau.']	['Jean-Jacques Rousseau']		['v.1', 'v.2', 'v.3', 'v.4']
341388	The delicate distress: a novel. In letters. In two volumes. By Frances. Vol. I.	Griffith	1775	["L'amour ne peut jamais subsister, sans peine, dans une ame delicate, mais ses peine mêmes, sont, quelquefois, la source de ses plus doux plaisirs."]				['Recueil Anonyme [Anonymous].']			
341392	Les delices du sentiment; or the passionate lovers: in a series of letters which have recently passed between two celebrated characters, well known in polite life for their virtues, talents, and accomplishments. With a translation from the originals. Written in cypher. Several of those letters are entrusted to the publisher, for the satisfaction of those readers who doubt their authenticity.		1781	["De tous les sentimens qu'inspire la nature,---L'amour est le plus beau, quand la vertu l'épure."]		["L'honnête criminel."]	["L'honnête Criminel"]		['Charles-Georges Fenouillot de Falbaire']		
