id	title	author	date	a	b	2	3	5	6	7
260496	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	Weston, Anna Maria	1814	['Author (text)']		['Anna Maria Weston']	['Title Page']	['Female']	['Female']	
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Author (text)', 'Author (paratext)']	['Proper name']	['By Laetitia-Matilda Hawkins']	['Title Page']			
260500	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	Orrery, Roger Boyle	1750	['Author (text)']		['Wrote by a party in his pleasures']	['Title Page']	['Indeterminate']		
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Translator (text)']		['How vast must be the ambition of an unknown and meer translator to dare to hope from so great a prince, his most noble protection for so small a trifle? But he who enters not the lists, can never pretend to win the race...']	['Dedication']	['Male']		
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['Author (paratext)']		["Inscribed by her Royal Highness's most obedient, and most humble servant, Sarah Harriett Burney"]	['Dedication']	['Female']		
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	Godwin, William	1816	['Author (text)']		['By William Godwin']	['Title Page']	['Male']	['Male']	
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810	['Author (text)']	['Proper name']	['By Henry Fielding, Esq.']	['Title Page']	['Male']		
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Author (paratext)']	['Proper name']	['To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.']	['Title Page']	['Male']	['Unknown']	
260666	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.	Edgeworth, Maria	1810	['Author (text)']		["By Miss Edgeworth, author of The parent's assistant,  Tales of fashionable life, Letters for literary ladies, Moral tales, &c."]	['Title Page']	['Female']		
260667		Edgeworth, Maria	1810	['Author (text)']		["By Miss Edgeworth, author of The parent's assistant,  Tales of fashionable life, Letters for literary ladies, Moral tales, &c."]	['Title Page']	['Female']		
260668		Bunyan, John	1810	['Author (paratext)']		["Mr. Bunyan's advertisement to the reader"]	['Advertisement']	['Male']	['Male']	
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Author (paratext)']		['The following pages are inscribed, by their very grateful and affectionate -- Anna Maria.']	['Dedication']	['Female']	['Female']	
260671	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.	Porter, Anna Maria	1817	['Author (paratext)']		['The following pages are inscribed, by their very grateful and affectionate -- Anna Maria.']	['Dedication']	['Female']	['Female']	
260673	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Burney, Sarah Harriet	1816	['Author (text)']	['Reference to other works']	['Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c.']	['Title Page']	['Indeterminate']	['Female"']	
260674	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	Holberg, Ludvig	1742	['Author (text)']	['Nicholas Klimius']	['By Nicholas Klimius']	['Title Page']	['Male']		
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Author (paratext)']		['The author.']	['Preface']	['Indeterminate']		
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Author (paratext)', 'Author (text)']		['By S.W. Ryley']	['Title Page', 'Dedication']	['Indeterminate']	['Male']	
260686		Fielding, Sarah	1744	['Author (text)']		['By a lady.']	['Title Page']	['Female']		
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Author (text)']	['Generic/Descriptive']	['By a lady.']	['Title Page']	['Female']		
260688	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Author (text)']	['Generic/Descriptive']	['By a lady.']	['Title Page']	['Female']		
260697	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.	Arbuthnot, Archibald	1746	['Author (text)']	['Proper name']	['By the Rev. Archibald Arbuthnot']	['Title Page']	['Male']		
260699	Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.	Fielding, Sarah	1747	['Author (text)']	['Reference to other works']	['By the author of David Simple']	['Title Page']	['Indeterminate']		
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Publisher (text)']		['Published by the editor of Pamela']	['Title Page']	['Indeterminate']		
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Publisher (text)']		['Published by the editor of Pamela']	['Title Page']	['Indeterminate']		
260702	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.	Haywood, Eliza Fowler	1746	['Author (text)']	['Proper name']	['Written by Mrs. Eliza Haywood.']	['Title Page']	['Female']		
260703	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Author (text)']		['By the author of the fortunate foundlings']	['Title Page']	['Indeterminate']	['Female']	
260704	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Author (text)']		['By the author of the fortunate foundlings']	['Title Page']	['Indeterminate']	['Female']	
260706	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	Fielding, Henry	1749	['Author (text)']	['Generic/Descriptive']	['An author ought to consider himself, not as a gentleman who gives a private or eleemosynary treat, but rather as one who keeps a public ordinary, at which all persons are welcome for their money.']	['Text']	['Male']	['Male']	['Fielding extensively uses the authorial first person and speculates on the nature of the novel.s']
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Author (text)']		['By Henry Fielding, Esq.']	['Title Page']	['Male']		
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Author (text)']	['Proper name']	['By Henry Fielding, Esq.']	['Title Page']	['Male']		
260709	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.	Fielding, Sarah	1749	['Author (text)']	['Reference to other works']	['By the author of David Simple.']	['Title Page']			
260712	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Author (text)']	['Generic/Descriptive']	['By a lady.']	['Title Page']	['Female']		
260713	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Author (text)']	['Generic/Descriptive']	['By a lady.']	['Title Page']	['Female']		
260715	Miscellanies by Henry Fielding Esq; in three volumes.	Fielding, Henry	1743	['Author (text)']	['Proper name']	['Miscellanies by Henry Fielding, Esq.']	['Title Page']	['Male']		
260719	The history of a fair Greek, who was taken out of a seraglio at Constantinople, and brought to Paris by a late ambassador at the Ottoman Port: interspersed with the surprising adventures of several other slaves. By Abbot Provost. Almoner to his serene highness the Prince of Conti. Vol. I.	PreÃÅvost, abbeÃÅ	1741	['Author (text)']		['By Abbot Provost, almoner to his serene highness the Prince of Conti.']	['Title Page']	['Male']		
260720	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esquire. The third edition, illustrated with cuts. In two volumes. Vol. II.	Fielding, Henry	1743	['Author (text)']	['Proper name']	['By Henry Fielding, Esq.']	['Title Page']	['Male']		
260723	Melmoth House: a novel. In three volumes, by Mrs. J. Jenner. Vol. I.	Jenner, J.	1816	['Author (text)']		['In three volumes, by Mrs. J. Jenner']	['Title Page']	['Female']		
