id	type	x	b	v
260498	Dedication		"[""To her right honourable Elizabeth-Laura, Countess of Waldegrave, these volumes, humbly designed to point out, though better illustrated by her Ladyship\\'s example, the inestimable advantages attendant on the practice of pure Christianity, are respectfully, and with every sentiment of esteem, inscribed, by her Ladyship\\'s most obliged and most obedient servant, Laetitia-Matilda Hawkins.""]"	
260498	Advertisement		['Advertisement']	
260498	Errata		['Errata']	
260503	Dedication		['To his Grace, Henry, Duke of Beaufort, Marques and Earl of Worcester, Earl of Glamorgan, Baron Herbert, and Lord of Chepstow, Ragland, and Gower .']	
260503	Dedication		['To his Grace, Henry, Duke of Beaufort, Marques and Earl of Worcester, Earl of Glamorgan, Baron Herbert, and Lord of Chepstow, Ragland, and Gower .']	
260503	Dedication		['To Isaac Bickerstaff, Esq:']	
260503	Preface		['The preface']	
260503	Dedication		"[""The French translator\\'s epistle dedicatory to Louisa of Savoy, Countess of Anoulesm""]"	
260503	Preface		['The preface']	
260503	Key		['The key to the four volumes of the Atalantis']	
260508	Dedication		['To the right hon. Lady Crewe.']	
260508	Dedication		"[""To her Royal Highness, the  Princess Elizabeth, hereditary Princess of Hesse Hombourg, these volumes, so highly honoured by her Royal Highness\\'s gracious permission, are inscribed with profound respect, by, her Royal Highness\\'s most obedient, and most humble servant, Sarah Harriet Burney.""]"	
260660	Preface		['Preface.']	
260660	Introduction		['Introductory remarks.']	
260661	Preface	"['Begins: """"The high estimation in which the \\\'Pilgrim\\\'s Progress\\\' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things.""""', 'Ends: """"The subject matter is so entertaining, that the attention of all would be secured; and the practical improvements might tend, by the blessing of God, to enlighten their minds in the grand truths of the gospel of Christ.""']"	['Preface']	
260661	About the author	"['Begins: """"The Whole compass of biography exhibits not a character more interesting, that that of a man converted from singular depravity of manners, to eminent piety; and raised from the deepest obscurity, to be an author celebrated for genius, and uncommonly useful to mankind. Such was the excellent writer of the Pilgrim\\\'s Progrss.""""', 'Ends: """"His works form two large volumes in folio, and contain, according to Mr. Grainger, as many tracts as he had lived years: a great part of them were probably the substance of his pulpit discourses, which he used commonly to commit to writing, not before, but after, he had preached them.""']"	['The Life of John Bunyan.']	
260661	Note	"['written in verse', 'First stanza: """"When at the first I took my pen in hand, -- Thus for to write, I did not understand -- That I at all should make a little Book -- In such a mode: nay, I had undertook -- To make another; which, when almost done, -- Before I was aware, I thus begun.""""', 'Last four lines: """"Wouldst read thyself, and read thou know\\\'st not what, -- And yet know whether thou art bless\\\'d or not, -- By reading the same lines? O then come hither -- And lay my book, thy head, and heart, together.""""', 'Signed, """"John Bunyan.""']"	"[""The Author\\'s Apology""]"	
260661	Conclusion	"['written in verse', 'Begins: """"Now Reader, I have told my dream to thee, -- See if thou canst interpret it to me, -- Or to thyself, or neighbour; but take heed -- Of misinterpreting; for that, instead -- Of doing good, will but thyself abuse; -- By misinterpreting, evil ensues.""""', 'Ends: """"End of the First Part.""']"	['The Conclusion']	
