id	pub date	author name	title catalog
260496	1814	Weston, Anna Maria.	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.
260498	1814	Hawkins, Laetitia Matilda,	Rosanne, or, A father\'s labour lost / by Laetitia-Matilda Hawkins.
260500	1750	Orrery, Roger Boyle,	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\'d from the original papers by a person of quality ...
260503	1720	Manley,	Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.
260507	1814	Leadbeater, Mary,	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.
260508	1816	Burney, Sarah Harriet,	Tales of fancy / by S. H. Burney. ...
260518	1742	Lambert de Saumery, Pierre,	The devil turn\'d hermit : or the adventures of Astaroth banish\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.
260658	1816	Godwin, William,	St. Leon : a tale of the sixteenth century / BY William Godwin.
260659	1816	Malory, Thomas,	The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.
260660	1810	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.
260661	1811	Bunyan, John,	The pilgrim\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.
260662	1812	Weber, Henry William,	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.
260663	1745	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.
260664	1745	Haywood, Eliza Fowler	The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.
260665	1818	Austen, Jane,	"Northanger Abbey: and Persuasion. By the author of """"Pride and prejudice"""", """"Mansfield-Park"""", &c.  With a biographical notice of the author ..."""
260666	1810	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.
260667	1810	Edgeworth, Maria	The modern Griselda : a tale / by Miss Edgeworth.
