id	title	author	date	a	d	1	b	2	c	x	v
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	["Oh! quanto erra colui ch'l mondo in guide -- Prendesi! Ed a che strazio ed a quai pene -- Ed a qual morte va che a lui si fida!"]	['Title page']				['Filicaja']		['v.1', 'v.2', 'v.3']
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['A good mind easily amalgamates with religion ; but one soured by discontent, or agitated by turbulent passions, will admit nothing exhilarating.']	['Verso of title page']		['Bampton Lectures']		['Bidlake']		['v.1', 'v.2', 'v.3']
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['There is no virtue more amiable in the osfter sex, than that mild and quiescent spirit of devotion, which, without entangling itself in the dogmas of religion, in melted by its charities and exhilarating by its hopes.']	['Title page']				['Cowper']		['v.1', 'v.2', 'v.3']
260500	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	Orrery, Roger Boyle	1750	['Love, almighty love, made Solomon commit idolatry, David contrive a murder, and all the world play the fool at one time or other.']	['Title page']				['Sheffiled, D. of Buckingham']		
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	["La fede unqua non deve esser corrotta, -- O data a un solo, o data insieme a mille, -- E cosi in un selva, in una grotta, -- Lontan dalle cittadi e dalle ville, -- Come dinanzi a triunali, in frotta -- Di testimon, di scritti e di postille. -- Senza giurare, o seguo altro pui expresso, -- Basti una volta che s'abbia promesso."]	['Title page of ""The shipwreck""']				['Ariosto']	['Translated below as, ""Good faith should ever be held pure from taint, -- Whether to one, or to a thousand pledged ; -- Whether in cave forlorn, or forest wild, -- Remote from cities and the haunts of men, -- Or facing a tribunal, and amidst -- A crowd of witnesses, and formal bonds.-- -- Leave oaths and records to the base! enough, -- \'Mongst men who\'ve honour, is a promise giv\'n."']	['v.1']
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['""She will not stay the siege of loving terms, -- Nor bide th\' encounter of assailing eyes.""']	['Title page']		['Romeo and Juliet']				['v.2"']
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['""----- Were I crown\'d the most imperial monarch, -- Thereof most worthy ; were I the fairest youth -- That ever made eye swerve; had force, and knowledge -- More than was ever man\'s - I would not prize them, -- Without her love : for her employ them all ; -- Commend them, or condemn them, to her service, -- Or to their own destruction."" ""']	['Title page']		["Winter's Tale"]				['v.3"']
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816		['Epigraphs precede chapters']						['v.1', 'v.2', 'v.3']
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	Godwin, William	1816	['Ferdinand Mendez Pinto was but a type of thee, thou liar of the first magnitude.']	['Title page']	['Congreve.']					['v.1', 'v.2', 'v.3', 'v.4']
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['I have used similitudes.']		['Hosea xii. 10.']	['Hosea xii. 10.']				
