id	title	author	date	a	b	x	c	v
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Dedication']	["To her right honourable Elizabeth-Laura, Countess of Waldegrave, these volumes, humbly designed to point out, though better illustrated by her Ladyship's example, the inestimable advantages attendant on the practice of pure Christianity, are respectfully, and with every sentiment of esteem, inscribed, by her Ladyship's most obliged and most obedient servant, Laetitia-Matilda Hawkins."]		['Front']	
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Advertisement']	['Advertisement']		['Front']	
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814	['Errata']	['Errata']		['Back']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Dedication']	['To his Grace, Henry, Duke of Beaufort, Marques and Earl of Worcester, Earl of Glamorgan, Baron Herbert, and Lord of Chepstow, Ragland, and Gower .']		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Dedication']	['To his Grace, Henry, Duke of Beaufort, Marques and Earl of Worcester, Earl of Glamorgan, Baron Herbert, and Lord of Chepstow, Ragland, and Gower .']		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Dedication']	['To Isaac Bickerstaff, Esq:']		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Preface']	['The preface']		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Dedication']	["The French translator's epistle dedicatory to Louisa of Savoy, Countess of Anoulesm"]		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Preface']	['The preface']		['Front']	
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Key']	['The key to the four volumes of the Atalantis']		['Front']	
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['Dedication']	['To the right hon. Lady Crewe.']		['Front']	
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816	['Dedication']	["To her Royal Highness, the  Princess Elizabeth, hereditary Princess of Hesse Hombourg, these volumes, so highly honoured by her Royal Highness's gracious permission, are inscribed with profound respect, by, her Royal Highness's most obedient, and most humble servant, Sarah Harriet Burney."]		['Front']	
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810	['Preface']	['Preface.']		['Front']	
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810	['Introduction']	['Introductory remarks.']		['Front']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Preface']	['Preface']	['Begins: ""The high estimation in which the \'Pilgrim\'s Progress\' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things.""', 'Ends: ""The subject matter is so entertaining, that the attention of all would be secured; and the practical improvements might tend, by the blessing of God, to enlighten their minds in the grand truths of the gospel of Christ."']	['Front']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['About the author']	['The Life of John Bunyan.']	['Begins: ""The Whole compass of biography exhibits not a character more interesting, that that of a man converted from singular depravity of manners, to eminent piety; and raised from the deepest obscurity, to be an author celebrated for genius, and uncommonly useful to mankind. Such was the excellent writer of the Pilgrim\'s Progrss.""', 'Ends: ""His works form two large volumes in folio, and contain, according to Mr. Grainger, as many tracts as he had lived years: a great part of them were probably the substance of his pulpit discourses, which he used commonly to commit to writing, not before, but after, he had preached them."']	['Front']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Note']	["The Author's Apology"]	['written in verse', 'First stanza: ""When at the first I took my pen in hand, -- Thus for to write, I did not understand -- That I at all should make a little Book -- In such a mode: nay, I had undertook -- To make another; which, when almost done, -- Before I was aware, I thus begun.""', 'Last four lines: ""Wouldst read thyself, and read thou know\'st not what, -- And yet know whether thou art bless\'d or not, -- By reading the same lines? O then come hither -- And lay my book, thy head, and heart, together.""', 'Signed, ""John Bunyan."']	['Front']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Conclusion']	['The Conclusion']	['written in verse', 'Begins: ""Now Reader, I have told my dream to thee, -- See if thou canst interpret it to me, -- Or to thyself, or neighbour; but take heed -- Of misinterpreting; for that, instead -- Of doing good, will but thyself abuse; -- By misinterpreting, evil ensues.""', 'Ends: ""End of the First Part."']	['Middle']	
