id	title	author	date	a	b	c	d	e
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Translation']	['Title page']	['Italian']		['Written originally in Italian']
260674	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	Holberg, Ludvig	1742	['Translation']	['Title page']			['Translated from the original']
260690	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.		1743	['Translation']	['Title page']	['High-German']		['Written originally in High-German']
260692	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.		1746	['Translation']	['Title page']	['French']		['Translated from a French manuscript']
260727	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']		['From the German of Klopstock.']
260752	Amatonda. A Tale, From the German of Anton Wall.	Wall, Anton	1811	['Translation']	['Title Page']			['From the German of Anton Wall']
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']	['']	['From the German of Klopstock.']
260864	The travels and adventures of Mademoiselle de Richelieu. Cousin to the present Duke of that name. Who made the tour of Europe, dressed in men's cloaths, attended by her maid Lucy as her valet de chambre. Now done into English from the Lady's own manuscript. By the translator of the memoirs and adventures of the Marques of Bretagne and Duke of Harcourt. Vol. I.	Erskine	1744	['Translation']	['Title page']			["Now done into English from the Lady's own manuscript"]
260908	Ascanius: or, the young adventurer; a true history. Translated from a manuscript privately handed about at the court of Versailles. Containing, a particular account of all that happen'd to a certain person during his wanderings in the North, from his first arrival there, in August 1745, to his final escape September 19, in the following year. The whole introduced with a more critical and candid history of the rise, progress, and extinction of the late rebellion, than any yet publish'[d; and interspersed with remarks on the characters of the principal persons who appear'd in the interest of Ascanius; particularly the celebrated Miss Cameron; Miss Mac Donald, the Duke of Perth the Earl of Kilmarnock, Messieurs Sherridan and Sullvan, &c. &c.	Griffiths, Ralph	1746	['Translation']	['Title page']	['']		['Translated from a manuscript privately handed about at the court of Versailles']
260926	Grecian tales: or, the entertaining adventures of Neoptolemus, son of Achilles. Translated from the French.	Chansierges	1742	['Translation']	['Title page']	['French']		['Translated from the French.']
