id	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260496	Weston, Anna Maria		by Anna Maria Weston.	Pleasure and pain, or The fate of Ellen : a novel / by Anna Maria Weston.	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.			3			1814	1814.	London	['T. Tegg', 'Thomas Tegg']	Printed for Thomas Tegg, No. 111, Cheapside.				Duodecimo											['']	['Third-person']	['Poem(s)']				Author (text)		Female	Female			['pleasure', 'pain', 'fate', 'novel']		University of Pennsylvania		
260498	Hawkins, Laetitia Matilda	1760-1835.	by Laetitia-Matilda Hawkins.	Rosanne, or, A father\\\'s labour lost / by Laetitia-Matilda Hawkins.	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Rosanne. Vol. II.		3			1814	1814.	London		Printed for F.C. and J. Rivington, No. 62, St. Paul\\\'s Church-Yard				Octavo				true	true				true		['']						Author (text)	Proper name			['Fiction']		['father', 'labour']		University of Pennsylvania		
260500	Orrery, Roger Boyle	1621-1679.	wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	Royal adventures : being the amorous history of King Henry the Eighth, and his court, &c. / wrote by a party in his pleasures, and now publish\\\'d from the original papers by a person of quality ...	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling			1			1750	1750.	London	['J. Freeman']	Printed for J. Freeman, in Fleet-Street.				Duodecimo		['Originally published under title: English adventures.']									['']	['Third-person']					Author (text)		Indeterminate				['adventure', 'history', 'king', 'court', 'party', 'pleasure', 'paper', 'person', 'quality', 'price', 'shilling']		University of Pennsylvania		
260503	Manley	1663-1724.		Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian.	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I			4	6th edition.		1720	1720.	London	['J. Morphew', 'John Morphew']	Printed for John Morphew near Stationers-Hall.				Duodecimo	ill ;	['Running title: The New Atalantis.']	true	true					true		['']	['Third-person']	['First-person']			true	Translator (text)		Male		['Fiction']		['memoir', 'manner', 'person', 'sex', 'island']	['Atalantis', 'Mediterranean']	University of Pennsylvania		
260507	Leadbeater, Mary	1758-1826.	by Mary Leadbetter and Elizabeth Shakleton.	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.				1			1814	1814.	Dublin		Printed by J. Cumming,					ill. ;										['']														University of Pennsylvania		
260508	Burney, Sarah Harriet	1772-1844.	by S. H. Burney. ...	Tales of fancy / by S. H. Burney. ...	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Tales of fancy, by S.H. Burney. Vol. I Containing the shipwreck		3	2nd edition.		1816	1816.	London	['Henry Colburn & Co.', 'Henry Colburn & Co.']	Printed for Henry Colburn, Public Library, Conduit Street, Hanover Square.				Duodecimo				true							['']	['Third-person']	['Epistolary']				Author (text)		Indeterminate		['Fiction']		['tale', 'fancy', 'shipwreck']		University of Pennsylvania		
260518	Lambert de Saumery, Pierre	b. ca. 1690.		The devil turn\\\'d hermit : or the adventures of Astaroth banish\\\'d from Hell : A satirical romance. ... Translated from the original French. Vol.II.				1			1742	1742.	London		Printed for T. Waller,						['Anonymous. By Pierre Lambert de Saumery.']									['']														University of Pennsylvania		
260658	Godwin, William	1756-1836.	BY William Godwin.	St. Leon : a tale of the sixteenth century / BY William Godwin.	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	The travels of St. Leon		4	The third edition.		1816	1816	London		Printed for W. Simpkin and R. Marshall, Stationers-court, Ludgate-street				Octavo											['Congreve.']						Author (text)		Male	Male			['travel']		University of Pennsylvania		
260659	Malory, Thomas	15th cent.		The history of the renowned Prince Arthur, king of Britain; with his life and death, and all his glorious battles.  Likewise, the noble acts and heroic deeds of his valiant knights of the Round Table.				2			1816	1816.	London		Printed for Walker and Edwards, etc.,					fronts.	['Each volume has added t.-p. engraved.']									['']														University of Pennsylvania		
260660	Fielding, Henry	1707-1754.	Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	The history of the adventures of Joseph Andrews. By Henry Fielding, Esq. London, published by J. Walker, Paternoster Row, and J. Harris, St. Pauls Church Yard.		1			1810	1810.	London	['Sherwood, Neely, and Jones', 'Black, Parry, and Kingsbury', 'Wilkie and Robinson', 'Cadell and Davies', 'Longman, Hurst, Rees, and Orme', 'Lackington, Allen and Co.', 'A. Newman and Co.', 'Cuthell and Martin', 'Vernor, Hood, and Sharpe', 'F., C. and J. Rivington (Firm)', 'R. Faulder and Son', 'Harris, J.', 'Jeffrey, E.', 'Booker, J.', 'Scholey, Robert', 'Asperne, James', 'Nunn, James,', 'Lea, R.', 'Richardson, J.', 'Johnson, J.', 'Walker, J.']	printed for J. Walker; J. Johnson; J. Richardson; R. Faulder and Son; F.C. and J. Rivington; Vernor, Hood, and Sharpe; R. Lea; J. Nunn; Cuthell and Martin; E. Jeffrey; Newman and Co.; Lackington, Allen and Co.; Longman, Hurst, Rees, and Orme; Cadell and Davies; Wilkie and Robinson; J. Booker; Black, Parry, and Kingsbury; Sherwood, Neely, and Jones; J. Asperne; R. Scholey; and J. Harris.					front.	['Added t. p., engraved.']	true				true				['']	['Third-person']	['Epistolary']				Author (text)	Proper name	Male				['history', 'adventure']	['London', 'Paternoster Row', 'St. Pauls Church Yard']	University of Pennsylvania		
