1	260496	 3 v. ;					
2	260498	 3 v. ;	520: 0/3				656: 0/1
3	260500	 [2], 78 p. ;		591: 0/1			
4	260503	 4 v. :	520: 0/7				656: 0/1
5	260507	 [2], 227 p., [1] leaf of plates :					
6	260508	 3 v. ;	520: 0/2				656: 0/2
7	260518	 x, 254 p. ;					
8	260658	 4 v. ;					
9	260659	 2 v. ;					
10	260660	 374 p. ;	520: 0/2				
11	260661	 82 p. ;	520: 0/6	591: 0/1			
12	260662	 3 v. ;	520: 0/5				
13	260663	 [8], 284 p. ;	520: 0/1				
14	260664	 [8], 284 p. ;	520: 0/1				
15	260665	 4 v. ;					
16	260666	 117 p. ;		591: 0/1			656: 0/2
17	260667	 117 p. ;		591: 0/1			
18	260668	 viii, 325, [1] p.	520: 0/2			595: 0/1	656: 0/1
19	260669	 3 v. ;	520: 0/1				
20	260670	 3 v. ;					
21	260671	 2 v. ;					
22	260672	 199, [5] p. (final page blank) :					
23	260673	 3 v. ;					
24	260674	 [4], 324 p. ;				595: 0/1	
25	260675	 2 v. ;	520: 0/3				
26	260676	 2 v. ;	520: 0/4				
27	260677	 2v. ;					
28	260678	 2 v. ;					
29	260679	 147, [1] p. ;					
30	260680	 2 v. ;					
31	260681	 9 v. ;					
32	260682	 9 v. ;	520: 0/5				656: 0/1
33	260683	 3 v. ;					
34	260684	 3 v. ;	520: 0/3				
35	260685	 2 v. ;	520: 0/1				
36	260686	 2 v. ;	520: 0/1				
37	260687	 2 v. ;					
38	260688	 2 v. ;	520: 0/1				
39	260689	 30, [2] p.		591: 0/1			
40	260690	 [4], 119, [1] p. ;		591: 0/1		595: 0/1	
41	260691	 228 p. ;	520: 0/1		594: 0/2		
42	260692	 2 v. ;	520: 0/1				
43	260693	 2 v. ;	520: 0/3				
44	260694	 iv, 336 p. ;					
45	260695	 [2], 29, [1] p. ;	520: 0/1	591: 0/1			
46	260696	 [4], 284 p. ;	520: 0/1				
47	260697	 viii, 9-280 p., [1] leaf of plates ;	520: 0/1				
48	260698	 [2], iv, 329, [1] p. (the last page blank) ;	520: 0/1				
49	260699	 2 v. ;	520: 0/1				
50	260700	 7 v. ;	520: 0/4				
51	260701	 7 v. :	520: 0/4				
52	260702	 4 v. :	520: 0/1				
53	260703	 [8], 231, [1] ;	520: 0/1		594: 0/1		
54	260704	 [8], 231, [1] ;	520: 0/2		594: 0/1		656: 0/3
55	260705	 [4], vi, [2], 165 [i.e. 156] p. :	520: 0/1				656: 0/2
56	260706	 6 v. ;		591: 0/1			
57	260707	 6 v. ;	520: 0/7				
58	260708	 6 v. ;	520: 0/8				
59	260709	 xiv, 245, [5] p. ;	520: 0/2				656: 0/1
60	260710	 xii, 288 p. ;	520: 0/1	591: 0/1	594: 0/1	595: 0/1	
