pub date	author name	title catalog
1660	"Ingelo, Nathaniel,"	"Bentivolio and Urania, in four bookes / by N. I...."
1675	"Barnes, Joshua,"	"Gerania : a new discovery of a little sort of people anciently discoursed of, called pygmies : with a lively description of their stature, habit, manners, buildings, knowledge, and government, being very delightful and profitable / by Joshua Barnes."
1676	"Orrery, Roger Boyle,"	Parthenissa : that most fam\'d romance : the six volumes compleat / composed by the right honourable the Earl of Orrery.
1676	"La CalpreneÌ€de, Gaultier de Coste,"	Cassandra : the fam\'d romance : the whole work : in five parts / written originally in French ; and now elegantly rendred into English by Sir Charles Cotterell.
1677	"ScudeÌÅry, Madeleine de,"	"Almahide, or, The captive queen : an excellent new romance, never before in English : the whole work / written in French by the accurate pen of Monsieur de Scudery, governour of Nostre Dame ; done into English by J. Phillips gent. ; licensed, March 8. 1675/6, H. Oldenburgh."
1677	"ScudeÌÅry, Madeleine de,"	"Almahide, or, The captive queen : an excellent new romance, never before in English : the whole work / written in French by the accurate pen of Monsieur de Scudery, governour of Nostre Dame ; done into English by J. Phillips gent. ; licensed, March 8. 1675/6, H. Oldenburgh."
1678	"ScudeÌÅry, Madeleine de,"	"Clelia, an excellent new romance: the whole work in five parts, dedicated to Mademoiselle de Longueville ... Written in French by the exquisite pen of Monsieur de Scudery, governour of Nostredame de la Garde [pseud.]"
1682	"Ingelo, Nathaniel,"	Bentivolio and Urania : in six books. / By Nathanael Ingelo.
1685	"La Vayer de Boutigny,"	"The famous romance of Tarsis and Zelie : digested into ten books / written originally in French by the acute pen of a person of honour : done into English by Charles Williams, Gent."
1687	"La CalpreneÌ€de, Gaultier de Coste,"	"Hymen\'s praeludia, or, Love\'s master-piece : being that so-much-admired romance, intituled Cleopatra : in twelve parts / written originally in the French [by Seigneur de Gaultier de Costa La CalpreneÌ€de] ; and now elegantly rendred into English, by Robert Loveday."
1698	"Behn, Aphra, "	[Novels]
1698	"Behn, Aphra, "	[Novels]
1700	"Behn, Aphra, "	[Novels]
1700	"""""Behn, Aphra"""	[Novels]
1700	"Behn, Aphra, "	[Novels]
1700	"Behn, Aphra, "	[Novels]
1700	"Behn, Aphra, "	
1700	"Behn, Aphra, "	[Novels]
1700	"""""Behn, Aphra"""	[Novels]
1700	"Behn, Aphra, "	[Novels]
1700	"Behn, Aphra, "	[Novels]
1700	"Behn, Aphra, "	
1700	"Scarron,"	"The whole comical works of Monsr. Scarron : Containing I. His Comical romance of a company of stage-players. In three parts, compleat. II. All his novels and histories. III. His select letters, characters, etc / translated by Mr. Tho. Brown, Mr. Savage, and others."
1700	"FeÌÅnelon, FrancÌ§ois de Salignac de La Mothe-,"	The adventures of Telemachus the son of Ulysses : in five parts / translated from the French.
1700	"Cervantes Saavedra, Miguel de,"	The history of the renown\'d Don Quixote de la Mancha / written in Spanish by Miguel de Cervantes Saavedra ; translated from the original by several hands and publish\'d by Peter Motteux servant to his Majesty ; adorn\'d with sculptures.
1700	"Behn, Aphra,"	"All the histories and novels written by the late ingenious Mrs. Behn, entire in one volume ... : together with the history of the life and memoirs of Mrs. Behn : never before printed / by one of the fair sex ; intemix\'d with pleasant love-letters that pass\'d betwixt her and Minheer Van Bruin, a Dutch merchant, with her character of the country and lover ; and her love-letters to a gentleman in England."
1700	"Howard, Thomas,"	"Roman stories, or, The history of the seven wise mistresses of Rome : containing seven days entertainment in many pleasant and witty tales or stories ... / translated from the Italian and embellish\'d with many cuts."
