id	corrected 300$a
260658	4
260682	9
260684	3
260692	2
260758	2
260759	2
260788	1
260796	14
260799	5
260813	4
260838	4
260868	50
260873	3
260876	2
260881	2
260882	2
260883	2
260885	2
260886	3
260887	2
260888	3
260900	2
260902	2
260933	5
260987	2
261083	3
276051	6
276092	3
276114	4
276122	2
276135	2
276150	3
340846	4
341366	3
341403	2
341424	2
341457	4
341460	5
341484	2
341524	2
341552	2
341556	2
341561	5
341626	3
341687	2
341715	18
374956	2
375225	2
375791	2
380966	2
427580	14
427644	14
427785	14
427894	14
428009	14
428027	14
440192	2
440193	2
440198	2
440200	2
440207	2
440215	3
440216	3
440219	2
440223	3
440224	3
440226	2
440227	4
440228	4
440232	2
440233	2
440235	2
440252	2
440254	3
440260	2
440261	2
440263	2
440268	2
440269	2
440295	4
440300	2
440302	2
440303	4
440308	3
440326	2
440358	4
440364	2
440366	2
440367	2
440372	3
440388	2
440406	3
440407	2
440410	2
440414	2
440418	2
179521-2	2
1799320	2
196689	4
196691	6
198938	2
218047	4
192415	2
193580-2	4
3765310	5
986563-2	2
157471	2
1808057	4
3482651	4
349453	2
3478219	2
962416-3	2
976233	4
105725-3	3
3769976	2
102829	2
ocm07071452 	3
