id	title full	246$v vols	300$a vols	300$a
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	1	4	4 v. ;
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	3	9	9 v. ;
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	4	3	3 v. ;
260692	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.	1	2	2 v. ;
260758		1	2	2 v. ;
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	1	2	2 v. ;
260788	Tales from Shakespeare, designed for the use of young persons. By Charles Lamb. In two volumes. Vol. I.	1	2	2 v. ;
260796	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume I.	1	14	14 v. ;
260799	The Scottish chiefs, a romance. In five volumes. By Miss Jane Porter, author of Thaddeus of Warsaw, and remarks on Sidney's aphorisms. Second edition. Vol. I.	4	5	5 v. ;
260813	The history of Tom Jones, a foundling. Vol. IV. By Henry Fielding, Esq.	4	6	6 v. ;
260838	Traits of nature, by Miss Burney. Author of Clarentine, Geraldine Fauconberg, &c. Second edition, in four volumes. Vol. I.	1	4	4 v. ;
260868	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. I.	1	50	50 v. ;
260873	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. XIX.	29	3	3 v. ;
260876	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIIII.	25	2	2 v. ;
260881	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXX.	31	2	2 v. ;
260882	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXII.	33	2	2 v. ;
260883	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXIV.	35	2	2 v. ;
260885	Evelina; or the history of a young lady's introduction to the world. In two volumes. Vol. I.	39	2	2 v. ;
260886	Cecilia; or, memoirs of an heiress. By the author of Evelina. In three volumes. Vol. I.	42	3	3 v. ;
260887	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XLIV.	44	2	2 v. ;
260888	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XLV.	47	3	3 v. ;
