Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
8	260658	[1, 1]	1	4 v. ;	['4']	4
9	260659	[1, 1]	1	2 v. ;	['2']	2
32	260682	[1, 2, 3]	3	9 v. ;	['9']	9
34	260684	[4]	4	3 v. ;	['3']	3
42	260692	[1, 1]	1	2 v. ;	['2']	2
65	260716	[1, 1, 2, 3]	3	2 v. ;	['2']	2
89	260742	[1, 2, 3, 4, 5, 6, 7, 8, 1, 2, 2, 3, 4, 5, 5, 7]	8	3 v. ;	['3']	3
95	260749	[1, 2, 3, 4, 1, 2, 3]	4	19 v. :	['19']	19
96	260750	[1, 2, 3, 4, 1, 2, 3]	4	19 v. :	['19']	19
104	260758	[1, 1]	1	2 v. ;	['2']	2
105	260759	[1]	1	2 v. ;	['2']	2
124	260778	[1, 2, 2, 3, 3, 4]	4	3 v. ;	['3']	3
134	260788	[1, 1]	1	2 v. ;	['2']	2
142	260796	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	1	14 v. ;	['14']	14
143	260797	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	1	24 v. :	['24']	24
145	260799	[1, 2, 3, 4]	4	5 v. ;	['5']	5
151	260806	[1, 2, 3, 4, 1, 1, 2, 2]	4	3 v. ;	['3']	3
156	260811	[1, 2, 3, 2]	3	2 v. ;	['2']	2
158	260813	[4, 3, 2, 1]	4	6 v. ;	['6']	6
167	260823	[1, 2]	2	6 v. ;	['6']	6
182	260838	[1, 1]	1	4 v. ;	['4']	4
183	260842	[1, 1]	1	3 v. ;	['3']	3
185	260844	[1, 1, 1, 1, 2, 2, 2]	2	3 v. ;	['3']	3
187	260846	[1, 1, 1, 1, 2, 2, 2]	2	3 v. ;	['3']	3
189	260848	[1, 1, 1, 1, 2, 2, 2]	2	3 v. ;	['3']	3
194	260855	[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]	3	2 v. ;	['2']	2
197	260859	[1, 1, 1, 2, 2, 2]	2	3 v. ;	['3']	3
205	260868	[1]	1	50 v. ;	['50']	50
210	260873	[29, 21]	29	3 v. ;	['3']	3
213	260876	[24, 25]	25	2 v. ;	['2']	2
217	260881	[30, 31]	31	2 v. ;	['2']	2
218	260882	[33]	33	2 v. ;	['2']	2
219	260883	[34, 35, 34, 35]	35	2 v. ;	['2']	2
221	260885	[38, 39]	39	2 v. ;	['2']	2
222	260886	[40, 41, 42]	42	3 v. ;	['3']	3
223	260887	[43, 44]	44	2 v. ;	['2']	2
224	260888	[45, 46, 47]	47	3 v. ;	['3']	3
234	260900	[1]	1	2 v. ;	['2']	2
235	260902	[1, 1]	1	2 v. ;	['2']	2
236	260903	[1, 1]	1	3 v. ;	['3']	3
237	260904	[1, 1]	1	2 v. ;	['2']	2
238	260905	[1, 1]	1	3 v. ;	['3']	3
261	260930	[1, 2, 3]	3	4 v. ;	['4']	4
263	260933	[1]	1	5 v. ;	['5']	5
279	260951	[1, 1, 1, 2, 2, 2, 3, 3, 3]	3	4 v. ;	['4']	4
314	260987	[1]	1	2 v. ;	['2']	2
