id	title full	246$v vols	300$a vols	300$a
260659			2	2 v. ;
260665			4	4 v. ;
260670			3	3 v. ;
260677			2	2v. ;
260678			2	2 v. ;
260680			2	2 v. ;
260681			9	9 v. ;
260683			3	3 v. ;
260716			2	2 v. ;
260731			2	2 v. ;
260733			2	2 v. ;
260738	Celia in search of a husband: by a modern antique. In two volumes. Third edition. Vol. I.		2	2 v. ;
260742			3	3 v. ;
260749			19	19 v. :
260750			19	19 v. :
260754			2	2 v. :
260756			2	2 v. ;
260767			3	3 v. ;
260768			2	2 v. ;
260769			3	3 v. ;
260770			3	3 v. ;
260778			3	3 v. ;
260782			3	3 v. ;
260784			3	3 v. ;
260785			3	3 v. ;
260791			3	3 v. ;
260792			1	1v. ;
260793			2	2 v. ;
260794			4	4 v. ;
260797			24	24 v. :
260802			4	4 v. ;
260803			4	4 v. ;
260806			3	3 v. ;
260808			3	3 v. ;
260811			2	2 v. ;
260820			3	3 v. ;
260823			6	6 v. ;
260824			6	6 v. ;
260830			3	3 v. ;
260831			3	3 v. ;
260832			3	3 v. ;
260835			3	3 v. ;
260836			3	3 v. ;
260837			3	3 v. ;
260842			3	3 v. ;
260844			3	3 v. ;
260845			2	2 v. ;
260846			3	3 v. ;
260847			2	2 v. ;
260848			3	3 v. ;
260850			2	2 v. ;
260853			3	3 v. ;
260855			2	2 v. ;
260857			3	3 v. ;
260859			3	3 v. ;
260867	Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart.		3	3 v. ;
260890	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. L.		2	2 v. ;
260891			2	2 v. ;
260898	Campbell; or, the Scottish probationer. A novel. In three volumes.  Vol. I.		3	3 v. ;
260899			4	4 v. ;
260903			3	3 v. ;
260904			2	2 v. ;
260905			3	3 v. ;
260909			2	2 v. ;
260915			2	2 v. ;
260917			3	3 v. ;
260918			5	5 v. ;
260920			3	3 v. ;
260922			2	2 v. ;
260925			2	2 v. ;
260930			4	4 v. ;
260934			5	5 v. ;
260935			5	5 v. ;
260936			3	3 v. ;
260937			3	3 v. ;
260938			7	7 v. ;
260940			3	3 v. ;
260942			3	3 v. ;
260947			3	3 v. ;
260948			3	3 v. ;
260951			4	4 v. ;
260952			3	3 v. ;
260961			3	3 v. ;
260962			3	3 v. ;
260963			4	4 v. ;
260968			3	3 v. ;
260969			3	3 v. ;
260970			4	4 v. ;
260981			3	3 v. ;
260985			2	2 v. in 1 ;
261007			4	4 v. :
261008			4	4 v. ;
261010			5	5 v. ;
261012			4	4 v. ;
261014			4	4 v. ;
261019			2	2 v. ;
261020			2	2 v. ;
261021			2	2 v. ;
261022			2	2 v. ;
261023			2	2 v. ;
261024			2	2 v. ;
261025			2	2 v. ;
261026			2	2 v. ;
261027			2	2 v. ;
261028			2	2 v. ;
261029			2	2 v. ;
261037			4	4 v. ;
261045			2	2 v. ;
