Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
5	260507	[1, 2, 3, 4]	4	[2], 227 p., [1] leaf of plates :	['2', '227', '1']	2
22	260672	[1, 2]	2	199, [5] p. (final page blank) :	['199', '5']	199
29	260679	[1, 1, 2]	2	147, [1] p. ;	['147', '1']	147
78	260730	[1, 2, 1, 2]	2	xii, [13]-308 p. ;	['13', '308']	13
94	260748	[1, 2, 3, 4, 1, 2, 3]	4	xi, [1], 275 p., [1] leaf of plates ;	['1', '275', '1']	1
133	260787	[1, 1, 2, 3]	3	162, [2] p. ;	['162', '2']	162
209	260872	[18, 18, 18, 18]	18	395 p. ;	['395']	395
216	260880	[29, 29]	29	[4], iii, 274 p. ;	['4', '274']	4
239	260906	[1, 1]	1	231, [3] p. :	['231', '3']	231
273	260944	[1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]	4	[2], 227 p., [1] leaf of plates :	['2', '227', '1']	2
281	260953	[1, 1, 1, 2, 2, 2, 3, 3, 3]	3	7, [1], 153, [7] p., [1] leaf of plates :	['7', '1', '153', '7', '1']	7
315	260988	[1]	1	[12], 322 p., [1] leaf of plates :	['12', '322', '1']	12
317	260990	[1, 2, 3, 4, 1]	4	52, [2] p. :	['52', '2']	52
370	261043	[1, 2]	2	271 p. ;	['271']	271
391	261064	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	2	36 p. ;	['36']	36
392	261065	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	2	36 p. ;	['36']	36
409	261084	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	1	119, [5] p., [1] leaf of plates :	['119', '5', '1']	119
415	261090	[1, 1, 1]	1	[4], 263 p., [1] leaf of plates :	['4', '263', '1']	4
416	261091	[1, 1, 1]	1	[4], 284 p., [1] leaf of plates :	['4', '284', '1']	4
417	261092	[1, 1, 1]	1	107, [1] p. ;	['107', '1']	107
462	276093	[1, 1, 2]	2			
526	341350	[1, 1, 2, 1]	2	[2], 248 p. ;	['2', '248']	2
658	341553	[1, 2, 1, 1]	2	[2], 224 p. ;	['2', '224']	2
662	341557	[2, 1]	2	[4], 152 p., [1] leaf plate ;	['4', '152', '1']	4
667	341563	[1, 2, 3]	3	[10], 261, [1] p. (the last page blank) ;	['10', '261', '1']	10
702	341629	[1, 1]	1	[2], 124, 109-250, [2] p. ;	['2', '124', '109', '250', '2']	2
703	341636	[1, 1, 1]	1	58 p. :	['58']	58
796	375855	[2, 1, 1]	2	252 p. ;	['252']	252
799	376220	[3, 3, 3, 3, 3, 3]	3	193,[1],48,[2]p. ;	['193', '1', '48', '2']	193
832	377909	[1, 2, 1, 1]	2			
870	379664	[1, 2, 2]	2	284 p. ;	['284']	284
896	380629	[2, 2, 2]	2	[4], 254, 6 p. ;	['4', '254', '6']	4
915	428064	[8, 8, 8, 8, 8, 8]	8	p.302;	['302']	302
916	428066	[9, 9, 9, 9, 9, 9]	9	p.302;	['302']	302
917	428071	[10, 10, 10, 10, 10, 10]	10	p.296;	['296']	296
918	428076	[11, 11, 11, 11, 11, 11]	11	p.312;	['312']	312
919	428108	[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]	12	p.336;	['336']	336
920	428124	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]	13	p.297;	['297']	297
921	428147	[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]	14	p.247;	['247']	247
948	440209	[1, 2, 1, 2, 1, 1, 2]	2	[i]-x, [1]-296, [1]-288	['1', '296', '1', '288']	1
949	440210	[1, 2]	2	[1]-224, [1]-232	['1', '224', '1', '232']	1
969	440231	[2]	2	[1]-308.	['1', '308']	1
980	440242	[1, 2, 1, 2, 1, 2]	2	[i]-xi, [1]-264	['1', '264']	1
1030	440298	[1, 2, 3, 4, 1, 1, 2, 3, 4, 1, 2, 3, 4]	4	[i]-x, [1]-298	['1', '298']	1
1086	440362	[1, 2, 3, 4, 1, 1, 2, 3, 4, 1, 2, 3, 4]	4	[i]-x, [1]-298	['1', '298']	1
1208	195787	[1, 2, 1, 1]	2	[12], 228 p. ;	['12', '228']	12
1244	199111	[1, 1, 2, 2, 1, 1]	2	[4], 272 p. ;	['4', '272']	4
1248	199576-2	[1, 2, 2, 1, 1]	2	[4], 303, [5] p. ;	['4', '303', '5']	4
1277	3452831-2	[1, 2, 3, 4]	4			
1323	196532	[1, 2, 3, 1, 1]	3	[4], 368 p. ;	['4', '368']	4
1329	199032	[1, 1, 1]	1	[4], 248 p. ;	['4', '248']	4
1394	280901	[1, 2, 1, 1, 2, 2]	2	[4], 40 p. ;	['4', '40']	4
1412	161843	[1, 1, 1, 1]	1	[2], 255, [1] p. (the last page blank) ;	['2', '255', '1']	2
1478	101037	[1, 1]	1	[2], xi, [1], 276 p. ;	['2', '1', '276']	2
1597	199942	[3]	3	[16], 336, 1-40, 49-106 p. ;	['16', '336', '1', '40', '49', '106']	16
1598	200425	[2]	2	[8], 401 [i.e. 399], [1] p. ;	['8', '401', '399', '1']	8
1616	58980	[1, 1, 2, 2, 1]	2	xii, 136, [4], 162, [2] p. ;	['136', '4', '162', '2']	136
1770	ocm63548219 	[1, 2, 1, 1]	2			
