Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
15	260665	[]		4 v. ;	['4']	4
31	260681	[]		9 v. ;	['9']	9
86	260738	[]		2 v. ;	['2']	2
100	260754	[]		2 v. :	['2']	2
102	260756	[]		2 v. ;	['2']	2
113	260767	[]		3 v. ;	['3']	3
114	260768	[]		2 v. ;	['2']	2
115	260769	[]		3 v. ;	['3']	3
116	260770	[]		3 v. ;	['3']	3
137	260791	[]		3 v. ;	['3']	3
138	260792	[]		1v. ;	['1']	1
139	260793	[]		2 v. ;	['2']	2
140	260794	[]		4 v. ;	['4']	4
148	260802	[]		4 v. ;	['4']	4
149	260803	[]		4 v. ;	['4']	4
168	260824	[]		6 v. ;	['6']	6
174	260830	[]		3 v. ;	['3']	3
175	260831	[]		3 v. ;	['3']	3
176	260832	[]		3 v. ;	['3']	3
190	260850	[]		2 v. ;	['2']	2
204	260867	[]		3 v. ;	['3']	3
226	260890	[]		2 v. ;	['2']	2
227	260891	[]		2 v. ;	['2']	2
232	260898	[]		3 v. ;	['3']	3
233	260899	[]		4 v. ;	['4']	4
242	260909	[]		2 v. ;	['2']	2
247	260915	[]		2 v. ;	['2']	2
249	260917	[]		3 v. ;	['3']	3
250	260918	[]		5 v. ;	['5']	5
257	260925	[]		2 v. ;	['2']	2
264	260934	[]		5 v. ;	['5']	5
265	260935	[]		5 v. ;	['5']	5
266	260936	[]		3 v. ;	['3']	3
267	260937	[]		3 v. ;	['3']	3
268	260938	[]		7 v. ;	['7']	7
269	260940	[]		3 v. ;	['3']	3
271	260942	[]		3 v. ;	['3']	3
276	260947	[]		3 v. ;	['3']	3
277	260948	[]		3 v. ;	['3']	3
288	260961	[]		3 v. ;	['3']	3
289	260962	[]		3 v. ;	['3']	3
290	260963	[]		4 v. ;	['4']	4
295	260968	[]		3 v. ;	['3']	3
296	260969	[]		3 v. ;	['3']	3
297	260970	[]		4 v. ;	['4']	4
308	260981	[]		3 v. ;	['3']	3
312	260985	[]		2 v. in 1 ;	['2', '1']	2
334	261007	[]		4 v. :	['4']	4
335	261008	[]		4 v. ;	['4']	4
337	261010	[]		5 v. ;	['5']	5
339	261012	[]		4 v. ;	['4']	4
341	261014	[]		4 v. ;	['4']	4
346	261019	[]		2 v. ;	['2']	2
347	261020	[]		2 v. ;	['2']	2
348	261021	[]		2 v. ;	['2']	2
349	261022	[]		2 v. ;	['2']	2
350	261023	[]		2 v. ;	['2']	2
351	261024	[]		2 v. ;	['2']	2
352	261025	[]		2 v. ;	['2']	2
353	261026	[]		2 v. ;	['2']	2
354	261027	[]		2 v. ;	['2']	2
355	261028	[]		2 v. ;	['2']	2
356	261029	[]		2 v. ;	['2']	2
372	261045	[]		2 v. ;	['2']	2
374	261047	[]		2 v. ;	['2']	2
375	261048	[]		2 v. ;	['2']	2
376	261049	[]		3 v. ;	['3']	3
377	261050	[]		3 v. ;	['3']	3
378	261051	[]		3 v. ;	['3']	3
379	261052	[]		4 v. ;	['4']	4
384	261057	[]		8 v. :	['8']	8
385	261058	[]		8 v. :	['8']	8
400	261075	[]		2 v. ;	['2']	2
402	261077	[]		2 v. ;	['2']	2
411	261086	[]		3 v. ;	['3']	3
413	261088	[]		2 v. ;	['2']	2
419	261094	[]		3 v. ;	['3']	3
421	261096	[]		2 v. ;	['2']	2
849	378959	[]		4 pts. in 1 v. ;	['4', '1']	4
850	378973	[]		2 v. ;	['2']	2
852	379041	[]		3 v. ;	['3']	3
855	379082	[]		3 v. ;	['3']	3
862	379185	[]		2 v. ;	['2']	2
864	379297	[]		2 v. ;	['2']	2
1177	1813680-2	[]		3 v. ;	['3']	3
1179	1816853	[]		2 v.	['2']	2
1260	268576	[]		2 v. ;	['2']	2
1297	1005225	[]		2 v. :	['2']	2
1322	196208	[]		2 v. ;	['2']	2
1347	276154	[]		2 v. in 1 ([4], 222 [i.e. 228]; [4], 156 p.) ;	['2', '1', '4', '222', '228', '4', '156']	2
1371	3768213	[]		2 v. in 1 ([32], 237, [1] ; [2], 287, [1] p., [1] leaf of plates) :	['2', '1', '32', '237', '1', '2', '287', '1', '1']	2
1373	3859265	[]		2 v. ;	['2']	2
1379	4158597	[]		2 v. ; 254	['2', '254']	2
1381	455115	[]		2 v.	['2']	2
1391	254565	[]		2 pts. in 1 v.	['2', '1']	2
1536	5911017	[]		2 v. ;	['2']	2
1555	3571236	[]		2 v. ;	['2']	2
1590	962416-1	[]		2 v. (69, [1] p.) ;	['2', '69', '1']	2
1591	962416-2	[]		2 v. (69, [1] p.) ;	['2', '69', '1']	2
1605	277537	[]		2 v.	['2']	2
1703	596561	[]		3 v. (vii, [8]-268 p., [8] leaves of plates) :	['3', '8', '268', '8']	3
